Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-10,0.66628,,0.66628,ae7272a52529309ec60370dcc3be33f8679fcc80279a1cebcbb19edd47dffd16,465713,2,1
2017-05-10,,0.66628,0.0,06b7f879855f5e9c34d1478ecaedf41ceae8224119d4e85e1630fcda8673eea2,465715,1,101
2017-05-16,0.312354,,0.312354,6661e984f0ebe5aa81c80bb4d4283378b06f9724f0ae25c249ee1e6f10c62483,466676,2,1
2017-05-16,,0.312354,0.0,51a66fa3247f8e51736071687719079ed8267747cfad07bd5d73104f602bc300,466679,1,101
2017-05-18,0.16894872,,0.16894872,cb6c82f56463aa19d184119b831493e238e71660528ff1fc9be0291ef1b94a51,466933,43,1
2017-05-18,,0.16894872,0.0,f4ad17291dd102ec4efe8cb748608ded7fd64d08e27e0eb947e431f364844367,466995,1,201
2017-05-21,1.09281675,,1.09281675,1685d1efafe7e1ae0d72a5d25818949058ab1c8813387301a1e4edbafe2c670c,467407,1,1
2017-05-21,,1.09281675,0.0,47cf2705a7b8f807f998ccd020197bee52b20b72fe2632b4e1798ab4c3d7c0fa,467410,1,201
2017-05-25,1.75,,1.75,7e7f0d61324b1005be17a42e8f0c44b9a6ede3a48e4a3ac3a41530575ce8cc30,468040,2,2
2017-05-25,,1.75,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-25,0.88613919,,0.88613919,fd46e646ce067cad4807954094eb71d5fcebeeae6155e7eb460c178f4bd3574e,468080,2,1
2017-05-26,,0.88613919,0.0,6fc5b287a206810793948475746d0fcfacbd91bccf776733b17366b398d80952,468257,14,52
2017-05-26,0.0082294,,0.0082294,53a9927473e98002b6fea7b606076701c03ac1fd6732bfec55520643add8b209,468267,2,1
2017-05-29,2.1995,,2.2077294,8837c405d977ef73266f46cdee4654a93e40433724479ad2534d20f31183e9d3,468678,8,1
2017-05-29,0.02721,,2.2349394,56d5386101a2a1c7b1d466edb1bed864997606cc3c4a2bba061c31fddc560ac4,468678,2,1
2017-05-29,,2.1995,0.0354394,cb889ad7d888a891b0e0e05d39b27c25c74559df43076f948e14d9ec2f9379b9,468686,15,23
2017-05-30,,0.0082294,0.02721,0e78c293f240287b602138ca22040105dd93e7171eb8042fab236ccc6f8fa262,468850,7,6
2017-06-01,,0.02721,0.0,e16aa3a5eb50224a247fd51967a010d2ba074ae9050331fcffbcf311b2472b9d,469118,3,101
2017-06-02,0.15138343,,0.15138343,30f516e9d4932f202d84f48891f7d505c876fac4f1e84e907f21a2c821946110,469332,2,2
2017-06-02,,0.15138343,0.0,4f6b9c3d7e05e96ada268bb3c693b36b6acbd48eb1b462d5eb4bbe4a16747ca1,469334,26,101
2017-06-03,0.44190602,,0.44190602,cc81622a4cad6c5ead28518ece3692460286f89f73487fbb87ac398b61ff92da,469514,7,1
2017-06-03,,0.44190602,0.0,3e34feb6fe6711cd07cb88035ceda25456c55272a3351680e6ec2984bc2e90ff,469516,13,101
2017-06-13,1.159,,1.159,4626cfff04f8743b0ea8088ddbdabbef95f5a002758aae07b65adc3dddf4b241,471087,15,8
2017-06-13,,1.159,0.0,dafc0b2d80917e7c307e9f794da3b856bb85777c845fc7e09e91c2a7979f2683,471091,14,101
2017-08-08,0.29116,,0.29116,3ba9549690200341832e03a9ff46b44326927fad3e28548f4fa711009c27f451,479706,31,3
2017-08-08,,0.29116,0.0,1317571b0f585a43faf2d77ee5ef8d92945c1246943eae1902a2ad4cb4c8c35d,479709,51,103
2017-09-22,0.20136647,,0.20136647,744269cd95e22185da77514f1f99816205cd5d648329b1accd4660215c81b62d,486511,2,2
2017-09-22,,0.20136647,0.0,07044d1bfb347a3de5ee52b1b497e13df188bad26fa09f4d4b6064dcaa68cf7e,486514,20,101
2017-09-27,0.18354925,,0.18354925,96eebb6d4de0e723afe4605864999d132d6d67ae1758ff82fe4e9c79dea9743c,487110,1,7
2017-09-27,,0.18354925,0.0,a0b044694265e9a16b090036bf440b9d5ab0300173183ffd4ea79ef833659f3b,487114,45,101
2017-09-29,0.29897794,,0.29897794,45fa8d028fbb6d10ed856bbdcc2dfd90bf4ba7adcdcc417c6d4700e58b2087c1,487418,1,1
2017-09-29,,0.29897794,0.0,b9667e00c9abba30e1d02b481970c3a6a62526e6678631c3a3b6c935ffc509f1,487425,52,101
2017-10-21,0.1994,,0.1994,af1b636428d169c71436d9a584f2c2caa32dc09414fcf0fffefc9b376f5bd2af,490956,2,2
2017-10-21,,0.1994,0.0,9bef8729a4de2f6b4af77bf453a0a7b8b9bcb9e53478466a4aa9eec228a5667c,490959,68,101
2017-11-03,0.09582763,,0.09582763,6a3cb44d24c690ca9902d1b31c0cb8460673ca7ab8c087fc0b17b790f8fdd973,492903,1,1
2017-11-03,,0.09582763,0.0,3276cde4dd201bc8e0d33ec38d6935212f7ec5b35a1f38cc285a87d8c9ab6a04,492905,78,101
2017-12-07,0.09,,0.09,67f2eb4fcf7594383cdb4544597f64db1cd582cd0912ea28f0538eb0aa2b8c35,498160,2,2
2017-12-08,,0.09,0.0,c0a9a0dde94acc2170a3c6eabbd7739ee35ab51b2307caafebecc0d824df0882,498251,43,201
2017-12-14,0.33291417,,0.33291417,df6597bd6b9814e2f7b9d7e2e79135f3fc75fa4fcec5a4d787aed527f1118209,499255,1,5
2017-12-26,,0.33291417,0.0,ccb4399084ef9f40fc3f5077ca9e05b0fa6c10aa75f31fc33cf6b8fd41e3d8f6,501066,86,201
