Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-23,,2.73940358,-2.73940358,a439bfea018b3e54d4351127b1c59cc1f9e79bcf863c8613b38bc897f7f9f857,472446,33,101
2017-06-23,2.82303757,,0.08363399,f333416a833c45555c4c7da7653f2e9cb066932d25051ad1cf86bf242a7785d1,472446,8,1
2017-06-23,,2.82303757,-2.73940358,87fabd62fc83b91e3385abd775ca6713ec5f185263317b9b407bcdf71c7ca1e3,472452,39,101
2017-06-23,2.78657612,,0.04717254,b92b8abff47bf9b925a57a1ca9c1e3f0d57acc9811463ff798e66ec40f17e8ee,472600,4,3
2017-06-24,2.80954217,,2.85671471,a9d733c466e355fcc9184f6201a2da5896ee3153194b564762109e54416fbab7,472606,2,1
2017-06-24,,2.80954217,0.04717254,7be1f10bd24cf927dc1948c1bf2de1cda0110503db7ced59d406185c9689c312,472614,41,101
2017-06-24,2.81401127,,2.86118381,c56e2b35418955ffb3b494989a844bc0f73529fb61a2772e98273f02377aafa5,472623,2,3
2017-06-24,,2.81401127,0.04717254,b51c4f029896f2118cc298a129dd4131f91d2850fcbb34e595414077454e5dee,472629,29,101
2017-07-11,0.52955318,,0.57672572,dc62a8499ade7ecb373f9b05b5e3fd643f530d20974b282aab4550bf80a3b4c6,475292,2,1
2017-07-11,,0.52955318,0.04717254,45a986ea99aa834951c55571f1f73af565dd34c88ed6eddedc03b5203244a9f6,475296,6,101
2017-08-06,0.10922462,,0.15639716,86a04f9d3ca354d6c777d9f937d1e03277764529c2733e1017e7f2276608155f,479336,1,1
2017-08-06,,0.10922462,0.04717254,f0d1eb85e5261ea96d46787af0ef6b0c1ce720f7c54403bfad279444e6c810f8,479338,59,101
2017-08-18,0.04542822,,0.09260076,09028ca88e05ab140b48b53b9a3e5aac99515ce5ecd1b081443b3c8db5e56f0a,481067,1,1
2017-08-18,,0.04542822,0.04717254,97d1ba3d43fc1854fbe33ffd017cc31e8a98ce97d4a560f2a5266af257e8faed,481069,110,103
2017-08-24,0.00935177,,0.05652431,4c0b4ed4b161c4422a7d8ad7e4b5d1cb9daf24f4323b6dc3636e5f8633ecb1a7,482122,2,3
2017-08-24,0.00942733,,0.06595164,fe676b1f9e708f04412fa11a70630ddd507755fa4bdb8e601de34099a9b67d96,482122,2,2
2017-08-24,0.01026695,,0.07621859,bc0907cc43d1431106d198c47bc60b819a6ef1a105270879d1c9655b8c1d532e,482122,2,2
2017-08-24,0.01025676,,0.08647535,4968c6472a30496e8d01cd2d8024ca1eeadf2fd98eb8befed26a3022b150ccc1,482122,2,3
2017-08-24,0.01000343,,0.09647878,63d186fc2934f7efe0df61ea87313f98d4a4199f4a5383eabda938ad0faceaea,482122,2,3
