Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-27,0.10321427,,0.10321427,3aef374cef98de4836793678236d771bebaaacfff95f6fdafeb0ab32336a7ff0,473133,43,1
2017-06-27,,0.10321427,0.0,f2ca4e2c9d803c7294653ec8e5acc1fe9fe2d406856c5155997a5d9ec84319a1,473135,35,101
2017-09-04,0.04301206,,0.04301206,139518f183ca5143552cbb035d7db07b8bc9f16940ef8da03c56e728959ecb24,483510,2,1
2017-09-04,,0.04301206,0.0,48742a0224f3a9e5cdf8f66067bae8fc323ed3540dde18db0da659ee0a6a9342,483513,30,106
2017-09-18,0.05491898,,0.05491898,6e1cd996d2edbbc0e13a77cb841036547a655d9db66e0fd44224705e6c75eb55,485805,15,1
2017-09-18,,0.05491898,0.0,cee8330f9fbbd1267a181958614e40fd94f185dc2b645505b0971492c84d3efb,485808,41,101
2017-11-13,0.10810772,,0.10810772,73ac177020867d1057edde3ffb12437cde5b6d99772e22d9e3aaa230b882f6bc,494242,17,1
2017-11-14,,0.10810772,0.0,d6ccc84dfc2dc739c01fd297d91c65cda29cbf3c06a4ab9958c14508623d9e72,494244,66,101
2017-12-08,0.05244411,,0.05244411,ca152b5f55eeb9a539d370d1016ee4c97ee2568a84114fbdea7fed5329c7aba3,498216,50,4
2017-12-08,,0.05244411,0.0,ad744761805f5f85a17a575c1cc0db3c7c9633306930e9e513ac4e1fed5038ea,498219,85,201
