Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-18,1.0,,1.0,a06f1471f583f7fbbfeec1f04420c92790d9abba086764e0fde93865e7de8224,466954,2,3
2017-05-18,,1.0,0.0,bd845974a3b5d338fc07659c00a2319867462c62655af3864053779a4fb6dde5,466988,1,201
2017-05-18,0.14529,,0.14529,857868bf08a21302cb68cc36d13915c8eea8a2e19adecc8e8285430582cd8444,467008,1,2
2017-05-18,,0.14529,0.0,7942f4ed08f18f5bf42ddfaee7578121c693da9bdc4fa29de5466641a08e99ac,467009,1,201
2017-05-20,2.0,,2.0,72d17d2ec4f0cf837144c3eab85820b4ad9c46a669daf8af68c4bd4abdab2eea,467237,13,29
2017-05-20,,2.0,0.0,92be7a02829f7083c6cbfd19f1515b46d07aa6e72dd1a5658f9f55eb8e0b802d,467248,1,201
2017-05-22,0.47109387,,0.47109387,fb40441e616faee4bf17b16d594664d1932711b50068a33959191bc8a642139f,467543,44,1
2017-05-22,0.05,,0.52109387,cbd7c3062512728943ac97610e6b42d03d9889177413b7c202dfa8d498bec156,467549,21,18
2017-05-22,0.95,,1.47109387,9abc0d394d527c972fdc2af59116cb01e0c77b5fb97cb0e3289ebd2f62827b21,467550,24,25
2017-05-22,,0.05,1.42109387,a86db41b7401e8a3a936af68e96d2ccb1b9fc29cd502fed8e4ed4ada81f99f57,467550,1,201
2017-05-22,,0.95,0.47109387,d690cbb1258aabe5ff748ba307868ee7c13f285c28a9362bf2df026da4da2605,467551,1,201
2017-05-22,,0.47109387,0.0,3bd6ff294b19a64381f4a51e3dcb4d63ee25d6744f1d54b6db8ae07955f537ec,467553,1,201
2017-05-22,0.00857118,,0.00857118,e57a62603cc32ac8e8bfff1c635508792d8a1faec7b51b038add9b6056bd580d,467606,67,1
2017-05-22,,0.00857118,0.0,9452642c145e81915b7444a6bbbe78635a7cb8eb8d3e6eddd69f3812f6aa217e,467608,1,201
2017-05-24,0.04298353,,0.04298353,238ca64ce8b76b405855aff31ae87b080caccd3b36f04f35e30c0f88338d6416,467912,2,1
2017-05-24,,0.04298353,0.0,7f9618eee13dc2bfc0e42ad3612819fd12f268d3f3d7b0ad07300f59f149b37a,467914,1,201
2017-05-25,1.65,,1.65,d0f368c8d01b26fdd547284c73a21425364208eefb48b700db7b93f62c1cb7eb,468008,34,22
2017-05-25,,1.65,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-07-01,0.7999,,0.7999,292cfd05b69c70951d7fca4f1b1707671bd7b1aa0f46c875bcd936e1f90679e9,473691,49,1
2017-07-01,,0.7999,0.0,32d1ac88f9acf5ad4676586adfd57ae72a0d549e770f9463bdce4a3fcf89efda,473693,29,101
2017-07-03,0.0036,,0.0036,9277ba5bdd23292c25d4662fe67a68a3373c57d82f3fdb3ba81a5bb54b64cc76,473964,6,6
2017-07-03,,0.0036,0.0,f18023ef9de72b2b6e547b350d01eba02549c37ab31f15960c9dbe85bf7427cf,473969,38,101
2017-07-11,0.42308429,,0.42308429,3d9119ad2e58f24cec032de0ca439a085d43e57d28a8c025207d2eadeb5cbf4e,475354,39,1
2017-07-11,,0.42308429,0.0,69d73bcb8c6d1374425a54c76c6cb1c94f477f3b337dbb7c4b0c2f9c293979fc,475356,35,101
2017-07-17,0.56051074,,0.56051074,578ca7909072d682e905a3d386422f48e4782f1fb33ea2017cbcd87f017fd80b,476208,6,55
2017-07-17,,0.56051074,0.0,3e92f2188a3f64d616b9507a172cbf7ef280ffa56d0332883b9b6a0c303cfc57,476211,7,100
2017-07-19,0.14587775,,0.14587775,975e1781b338c3b2e1db73712a12005de7884fcd6cf1f883fb736b33dec16b5b,476515,6,4
2017-07-19,,0.14587775,0.0,68c82143add56b0cf715e272672fac19c71a9fda659d404df22c7b780c833bcc,476517,51,101
2017-08-21,0.6985,,0.6985,abdcd181f46f7d1ecf792352054304337680caa6c552a67e2f85e02a60bdca1b,481475,2,2
2017-08-21,,0.6985,0.0,edcdc6fde7d721306862cc8befc965a8f51d6a04f7e8a1edf5a694e8ff41fdd6,481477,106,177
2017-08-21,0.3,,0.3,0e916a00a8ce6c540bcec7872f49f64fd84e74476cdc6fde817a42ec0103bd89,481506,2,2
2017-08-21,,0.3,0.0,274bf3c4e30fe93c892294dd742896ddde428460e3278fc04d7508ea9b61b577,481515,151,251
2017-08-26,0.37,,0.37,05e24818c5092932207d2c02e18d8ae593243a9313cc84523d5500db892d9032,482086,2,2
2017-08-26,,0.37,0.0,9a7b5a7068209e5de6ce804c48654b5dd219ba1e8837bdfdca61ffc91eb414fd,482091,19,101
2017-11-05,0.05,,0.05,1000631494c6423cc3179ce90c8008cd06ee99fe5016f25d738042a448e9d0a1,493219,3,1
2017-11-05,,0.05,0.0,946a70829483c1e02b3a95f1f4b851d7cbde74f946abf8e6317fc62033bc4c28,493222,16,101
2017-11-07,0.05,,0.05,8858dd9a2679bb455535f55991eb667996f413cafddccf4b92bbafb5d58d480a,493410,5,1
2017-11-07,,0.05,0.0,6a15c3572b041bf82baf650ea241afe52ecb9f1c3659ceca036b66a6b9ba2f64,493412,67,101
2017-12-25,0.12025577,,0.12025577,19887aafb951ec5fbed0dc83caab39329945696cf286ce17595ebee66a82bb05,500987,38,33
2017-12-25,,0.12025577,0.0,4f67bae16e6399272bac9f3abe36ffcffd99d9f9d6d4f3176d5e22bdfb922e06,500990,124,202
