Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-24,1.5,,1.5,9f2f0eadec092c1221e3e45e6a2aac2daccd273b922b2841f607b53f8beb51a6,467911,2,1
2017-05-24,,1.5,0.0,be875b6799625182e592b9b980ef6aa7e10a2abe98d778b95cb2d63a0e400ccf,467913,1,201
2017-05-25,1.52985028,,1.52985028,3ebaac61b5020b6dc99c9976d044552e88362b53d2d522756ab9f295ae6c5762,467982,1,6
2017-05-25,1.12363399,,2.65348427,22cbefb1e346e795aa4c948feed0fb1f1998399dbbef923caf50f550baef1b80,468019,2,4
2017-05-25,,1.52985028,1.12363399,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-25,,1.12363399,-0.0,d2fa1ead5416069f68272c1613239c54bb65ec726cb461e75efdd89b540739d0,468062,30,77
2017-05-25,1.21618943,,1.21618943,657b7258c2edccddea011a2bf1c290b358be8d073abb0da4823eac5bfa9216b6,468064,2,2
2017-05-25,,1.21618943,-0.0,2d1d64c0ecfffef024a76a762b6afe90b3d87ced0656b8b7a88c292e21618cc9,468074,16,47
2017-05-26,1.220719,,1.220719,de357146979b5cee1b52cb4112159752c0150a9236e17152c313d55a6f3a733a,468135,2,5
2017-05-26,,1.220719,-0.0,8a925fe0f210eb4d6b013e21249a08127926207518793389c2c4efeb96d51cdf,468233,29,93
2017-05-27,1.0,,1.0,71a84d5312e7528706e4fec1da766300f6b4a670a428bbde2b601453ed45a302,468375,2,18
2017-05-27,,1.0,-0.0,107ad7d5dce853cd6eb4de8f120523940019279cea1cd5481bd0d1f92d7db4d3,468378,6,21
2017-05-28,0.91262482,,0.91262482,7eb75a9f6d5ace1bcb9118980624fc0fc648c42da3b985dc98f02a0e38875aaf,468533,2,5
2017-05-28,,0.91262482,-0.0,24fbe3151872ea378975e3e6059f17b2f993b90876bf34f4d490fa001959951f,468553,28,75
2017-05-31,1.0,,1.0,cf014db4cef2c0603f2f7b29b7ceec35cea8413fc58c1e955b6f488229d750d5,469076,2,1
