Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-12-14,2.219169,,2.219169,caa1521a29206a607ca29aa175db81f9db60896f56289202910c5cba7eb8b577,499216,2,3
2017-12-14,,2.219169,0.0,673c280c30812208b6bc68e8945d952cc97cf5be1c652bf2fe2b40e71f0b28f8,499225,79,236
2017-12-14,,1.146408,-1.146408,40de614bf1b9fb42c98aa7a41ab17f0439d79c627a8707c568434467d0e8d4f6,499326,120,396
2017-12-15,2.013922,,0.867514,8795ac986d9d73f7f06d9d25f86a9bce45f66658f3fada622905110f0e775c8f,499344,2,1
2017-12-18,,2.013922,-1.146408,db23977bbdc6c2d8e7bb4bd33125005d96c5f5cce8611a47c88a3923f1e8fef2,499948,251,215
2017-12-21,,1.0,-2.146408,f6d34702fecf27b2c86f4e5c4c9523a7384b3dfdf44921e9bde747ee09b95654,500433,251,394
2017-12-21,,1.0,-3.146408,e4fefc6b3dab4c6037737bf911ed3e8ca2762124d658216176f27119098975fc,500440,143,272
2017-12-22,,1.0,-4.146408,5ff6c58e397febb13528fb55e4f8c9760ad471bb17ef5c3190e7aecceb55d091,500504,104,457
2017-12-22,1.5,,-2.646408,c9f22dbe69f1d10f677054eac7b388c6625863ddfecbdfd8b59145daf1a46e95,500584,17,6
2017-12-22,,1.0,-3.646408,08ca1e3b8b2628956583e3aca76cd61090c389626c65846f2f0cd9d8346187a0,500521,157,373
2017-12-22,,1.5,-5.146408,c93a1dce9e7d79526e45e18c241a3fc96cc78b7d2b4c29de4dceb39ea3e78448,500588,74,245
2017-12-28,,0.561129,-5.707537,4a8e21e0d8593e28d874deef2acd655969789e8ec3e7f398f9e18f1bba4fb812,501395,60,201
2017-12-29,,0.795463,-6.503,bc7509c6457f4c6ff98efd34edd89bc411ffab2fa93d54e2e7b61d5f0b0ddc2f,501521,39,201
2017-12-29,,0.82671611,-7.32971611,3f38221bd0425af80e837f73fd458c2ce044553910c7145b867ac3c85afc4f07,501531,44,201
2017-12-30,,0.946367,-8.27608311,1496dd1c05ae4ad618a386b05b3dca35d9aab19deff1b685cc1640d2a6fe1a31,501656,60,201
2017-12-30,1.999,,-6.27708311,868cec37c79c14fd5cd30459409a6115132d3e2cdbe5fd07cd10cbaf933f92d2,501700,22,10
