Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-23,0.20233754,,0.20233754,4875167103144755efecd0f6e3b4fdd4de3e7f2a9e623f31e0b57d2c807a9acb,467796,46,2
2017-05-23,,0.20233754,0.0,104a3424fefc2a44e9dce8fdead71298d82c76899b57e69d025a604aebb26140,467798,1,201
2017-05-24,0.29918,,0.29918,80fafb2b0c83c16ca98584b8fc19b49c40a9ae721cf451dcac74590410abbb8a,467883,76,1
2017-05-24,,0.29918,0.0,f6c032382b735c39aaca0988d252d0a06d80cf4b2d36186c30bc4ecb307efd40,467885,1,201
2017-05-25,2.0,,2.0,f6f38874edb1b85f6ff3e22fab50274106b84365f28ab3d6336c6d75eba381b8,468049,9,9
2017-05-25,,2.0,0.0,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-06-02,0.46425572,,0.46425572,144f7403310040b3e1bab19b098e53c8e19bc666305cd692f50a750ef46f9169,469426,48,1
2017-06-03,,0.46425572,0.0,5f290ea06babf2bb1867865ee9d5b7dd3e1d220c6c5f2ff33d847d510b619272,469428,17,101
2017-06-04,0.32039647,,0.32039647,e5e3cc57d5ae5b1db8e308adcb395cda4d495a4b9f402ffa64e2ef7dc0eedd16,469719,66,2
2017-06-04,,0.32039647,0.0,4a34b459c63fbdf7978929d46c5789fa634c65b7c224bf24ed083ed586a7d0d9,469722,26,101
2017-06-07,0.14848682,,0.14848682,a28a5f1baad3bfb52f7ff65e9e7609b1d38870ea86a673ac4930aa4aab8030b9,470184,71,1
2017-06-07,,0.14848682,0.0,f5f61c7582a65be1c526643223f7ed72773e59bb0678a109e130b647035401a5,470187,13,103
2017-06-09,0.1211,,0.1211,939c62a6facd26206204b26b3d43e91a1ae4b22de410be98eb31a9acf23860c6,470514,79,1
2017-06-09,,0.1211,0.0,3fa057a45a9ccea864c326e16bc4a13cd3776296205191ded7189f18fabcc1fe,470516,7,101
2017-06-21,0.11077,,0.11077,031820491af05a8c2fe94f082f67f8630b96a1a0868d0d928f1682048d799b58,472191,72,1
2017-06-21,,0.11077,0.0,6511299194514d2ea5006af6b5d9fa14eb4c28b865396547705d5a863f21e241,472194,8,101
2017-06-23,0.38516374,,0.38516374,13e33a654f405c7266ffac5d78cf0ec89d2b84149a14616e44ddb7e9907c28a9,472551,53,1
2017-06-23,,0.38516374,0.0,bbf0a046b4a6cb5ddd8052ee8608972516ce7bf3697027f8bff65f1595583e53,472553,48,101
2017-06-24,0.3499,,0.3499,e0edc29c6f7ebcaa2509873f8d84889694a068b080973bfffbf3719da1b39e52,472615,47,1
2017-06-24,,0.3499,0.0,d3ce7b67f3ddd6b24ff6bc6d005286c80dd1594c028d39f2d85a85e68799ccf7,472617,34,101
2017-07-02,0.09578,,0.09578,ef44dd0ed4513b72a780fa31f5c678f5adc33108e6b13ffb2386869ad5f2b02e,473759,74,1
2017-07-02,,0.09578,0.0,386b595ee07697c4ad01c9852af9799f4f40fe6b85ca64ad85f5fd5fa1566cf9,473763,7,101
2017-07-25,0.13977,,0.13977,f4ed08c3870d5cef736535f3dab066644fce52520e45267289196a9baf1be859,477475,74,1
2017-07-25,,0.13977,0.0,f4aa26c76affff7cda01047c12e0406b41210dd61fa77a00b5dae4f34ff935f5,477481,46,101
