Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-02,0.21272,,0.21272,b0055850d14f6e171b7612e61597eb00084fc2dbdfd8817a0db3dcdfb3d482f9,469360,2,13
2017-06-02,,0.21272,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-07,0.06911791,,0.06911791,1a08c543bddf22f3f519ce837cfc9e96fa34f8738a3fdc7ad7da5c1d48714c2f,470219,1,65
2017-06-07,,0.06911791,0.0,f8746b294d288faffb5e6cd8b37914f9865cb3ad99c3abadaa27a0ab1a5c90e2,470221,33,101
2017-06-13,0.17233846,,0.17233846,81016b723103c6ac4066481c71861602231c025097e666a9914c6e9e96fdb5ca,471126,2,1
2017-06-13,,0.17233846,0.0,45e9c8a5ba27884046ad81b5e4937279610c581732b3388b6e6c39d6ba8eb3a6,471131,6,101
2017-06-15,0.20656273,,0.20656273,4477f78fed1e1ba08a89642bae0d94d85f9fd4701ce0c5748833e636f18a99c9,471422,2,1
2017-06-15,,0.20656273,0.0,ce4e27b18f6bf83561d6d9099631637c0822ba10813286325494b588ec5e4c0a,471425,6,101
2017-06-25,0.099,,0.099,415a0f0adb50cfb1df76f45c1d821465c8f13ae4b9b5f098a348800fd2327839,472753,2,2
2017-06-25,,0.099,0.0,71a63ddc9e20e6ab2e46be6c268eb5f5bbd7321629cbe01bfe2df54cc1ae3792,472758,8,101
2017-06-29,0.05306509,,0.05306509,7bcad6b45ec62b7959e456aab587582e4254157434614d66f37a81f0b08505da,473424,6,4
2017-06-30,,0.05306509,0.0,357c6388aa9323f72af4e0d5c9baf81c9a46a2aa702edbb54df3dc1b54fbf903,473426,5,101
2017-07-20,0.20549131,,0.20549131,96c2eda747f44c90d5f988d21b10a8b1dec65f90796d184cf11c8afaa9ce351e,476677,2,1
2017-07-20,,0.20549131,0.0,d37c75602e3dffcff9f94b672e74c94f84eb950cb6a1cd6e3e3ae9775ea72fba,476679,30,101
2017-07-22,0.02989126,,0.02989126,311e688577f9b83a83edac96f4e812a0a9841b39e93dff4cd94bc52fffa8e159,476965,2,1
2017-07-22,,0.02989126,0.0,d998c48b5d6000fbc387ecf6370b2356adb51a764e597def4108a3a24e5dcfa6,476967,17,101
2017-07-22,0.17380931,,0.17380931,286a204ee8ee3e64b7825a24b588fdd3b1d20213095afd9b20b64d0d99c76f8b,477029,2,1
2017-07-22,,0.17380931,0.0,b3df5b05b66759d74be5e2287aa730feef089b11192fee2cea2226d9bd029beb,477031,39,101
2017-08-02,0.17139862,,0.17139862,bb6fdbd1b153ff784d8525f1c0b498e92678feffd3205b6451b21abd159df090,478684,2,1
2017-08-02,0.17096159,,0.34236021,9a2c6ca5c9f8c486678c08861924667915dcad45874a434c64bf7496b912d5da,478684,2,1
2017-08-02,0.17096159,,0.5133218,12eef989c93bd943d874a259055f73f383dd7805d77b6a36cfb6eafbe41f31ec,478686,2,1
2017-08-02,,0.17139862,0.34192318,36b3ea4e75ceca8e5715b7fda5ca315654ad2e2cbd57da363f0cd01457da679f,478693,42,101
2017-08-03,0.17336758,,0.51529076,cc9d1f528f7b4c3d5153cbe0aee6f4fc8b4612a44a853c68d68c5663f84ebdde,478857,2,1
2017-08-03,,0.17336758,0.34192318,802f122b887f8f308c936fb7e1ce8ac1a682d4ca1b6202a2506c4b3216afda5d,478869,54,101
2017-08-10,0.58359069,,0.92551387,2bebef1bca19670ac15346715be7c7b9f31a3be3b03fea19dcb08b35815c9344,479911,2,2
2017-08-11,0.0285472,,0.95406107,3ee47f786bde308a1d5b0ddc0a28784067202312fad237ba85f0fc5bf995cdf6,480069,2,2
2017-08-11,,0.0285472,0.92551387,49fababd049c3d15dac8debf85e8b2822c7ee21b739d87ecc6101e7f04fa2ec9,480071,101,101
2017-08-13,,0.58359069,0.34192318,1e0436a6e8a482cd5712e49ba75b7cea972aad07ae99aaa395e46e6ace38a2a5,480315,49,107
2017-08-16,0.25335368,,0.59527686,a7af92add2468eae421c81bc4302d10308d47d5f693275b2182ef741733bd47a,480751,2,1
2017-08-16,,0.25335368,0.34192318,1b7599a9736c3440b60ec1d8215be563511f82d522f93bf139c5b807d796f215,480754,22,101
2017-08-21,0.12113733,,0.46306051,f37291a31578c9a5f235ea0e645adf8a613e58d4f5a3da0d94e80d81f7539659,481497,2,1
2017-08-21,,0.12113733,0.34192318,7cd1fb1dc73ceb39646bbeead1763d415945476d24672e0899128bec2d37240c,481500,50,183
2017-08-29,1.15800461,,1.49992779,d0e67dc98482b7387c53cbce8600995f976ca980bbb02f854aa74bb87d982660,482447,2,2
