Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-01,,0.04143395,-0.04143395,f192d28ed7b33ed26bc6f825855be5504ff9c17b4211463fed09502fe75ab465,469162,18,101
2017-06-01,,0.07808373,-0.11951768,021fea8034256a6a55ed84a0b5bf731c1bec81751355ebdf30fcc3ae18cd6692,469182,5,101
2017-06-01,,0.10463765,-0.22415533,7f5434e78812c6ee822b87ea8ec4dd6568e45946e34021ca015d3e7c7d07fabe,469201,26,102
2017-06-02,,0.29889178,-0.52304711,6b8bf4aecc4819cc41fecad3ae82ef3119f6cf03d62d10ea502e75e19e348b36,469284,19,101
2017-06-02,,0.35715508,-0.88020219,3b7fa4597481ce90d873773317ca506b6d31936d6a08ae275ab90d89f10c70ce,469294,20,101
2017-06-02,,0.48232043,-1.36252262,c4e19ecf40cfe22480b9d7aef5973bf96708cfb9b552ab578e344e1a6b46c125,469299,2,100
2017-06-05,0.5,,-0.86252262,83152edb9e8b82be909fac4e4b290b3d0ce1f90ce81dd280fcb533539d972fba,469828,2,1
2017-06-05,0.2,,-0.66252262,40c0b454952bbff89314bc228db6810ae467db36613c8344bc403d84fc5be633,469828,2,1
2017-06-05,,0.5,-1.16252262,e56a7e51ea1d339ec67b3f24e6d29a99cd1d688c297fee2fdac9714f155278e7,469831,26,101
2017-06-07,0.145,,-1.01752262,be7747a59138ae8a35e71dc50c957e89358ab1756b7cf8b847f8c6e4a430b0a6,470177,1,2
2017-06-07,,0.145,-1.16252262,215ab4c1d45c6b8266b0eb23133de4dcc2ba1f37eda9c9296b01dfe02f7cd10a,470179,9,101
2017-06-08,0.0391,,-1.12342262,969d9bad41e7c15eabb64556b2d9bf1b806378fb282f1773b3cf93befc038b5b,470311,2,1
2017-06-08,,0.0391,-1.16252262,fd8043b666dfe67a353bf24b73acab6a84bac3eac6f22df3221682dc05d72a28,470313,48,101
2017-06-10,3.10653938,,1.94401676,209027df5fd2e5016b5384e970e8fbf9e571306986000c2eba323d0a3cfc3842,470564,1,1
