Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2016-05-30,0.08805259,,0.08805259,e80d26c8a402f9dfc5cc4520e6af06cfc3f01354988db9a99cfeb111527da7df,414109,2,6
2016-05-31,,0.08805259,0.0,ec8b1419bedeb820a8a6cfd817304d63946b04e692c9bd8f01a2425bd9d7757b,414131,1,601
2016-06-01,2.0,,2.0,cec4ffa21d71ebe9ffa622402eea43e29aded7d76c8538d3411860e031c6c52e,414294,15,8
2016-06-02,,2.0,0.0,1a07596329c29668ba956afb778825351ec3868810a12672a3b845d4f5849ba0,414389,1,601
2016-06-02,1.5798,,1.5798,fd4a1ec334f5321b95d58ccbdf692be7ce04860f0c384942f73f1a2825dcb9e3,414511,2,1
2016-06-03,,1.5798,0.0,581e338d193f4b36657914909401d98aaa1e1e7a4ba526f5a5ab980429c87a5a,414651,1,601
2016-06-09,0.1518,,0.1518,b26abae996d8f93ebdea8b4921f49d8ad5aa618b98eb7620a96453b8c0259c50,415514,2,1
2016-06-09,0.3788,,0.5306,5b9a1e48ebe1453ae9d7ecc6bee2a2b2412fca7daa517a87852b7cb1c1b757b4,415535,2,1
2016-06-10,,0.3788,0.1518,6882dae458b5a40bae55fd03a90f17afcf41deb53e16a0719554ed4dcbe6eb31,415598,1,601
2016-06-23,0.1978,,0.3496,f051d4e572e637bd888e30928f67b0174c7c205a22d1b2473eb2de1d7d165af6,417565,2,3
2016-06-23,,0.1978,0.1518,305938d36366f7472705f96ae60dfad5eb2938793007f01b8bae25d03df06e70,417628,1,201
2016-07-23,0.6058,,0.7576,ca74d19f17f8798c49701232537d3ecb53e96cfd5e335a261c9b23412205aa30,421874,2,1
2016-07-23,0.8198,,1.5774,11884625ed0f2dba4759a33001d10db937eed9a62552d999a83113610d5521b2,421875,2,1
2016-07-23,,0.8198,0.7576,fb8c3d1c787cc64be161366e47605c034ffb3d74c6859d47945c91555376a80f,421878,1,201
2016-08-09,0.9398,,1.6974,6cc9f9668ea8525b24452e61d6a7a03c3bca66a12417f9937ea4316630ce151f,424383,2,1
2016-08-09,,0.9398,0.7576,30a0d3b2b5e0a6eb3db2c7d8adf6aadd56befa2d8997e48f8d8efcb95f5574ba,424442,1,201
2016-08-22,0.14457304,,0.90217304,fe94b3bced8459963590f4dcf3b6f23ed177dcbfe508b6cc62a201bd8b2742e8,426400,2,4
2016-08-23,,0.14457304,0.7576,b0f48acba7dfe2b3da3bef349416659f68d3a6d781bf8a6c1e2932219ecd44a5,426445,1,201
2016-09-29,0.16,,0.9176,72616948d3fd3e9db0d1fd8d13bd0dd0cb7f7c1e00fcaf16fa74afb573e379d0,432075,2,1
2016-09-29,,0.16,0.7576,e7bb44d04264ddfdcef0b431faeb4125bb0a87217b5ff085e5967686cec16b2f,432106,1,201
2016-09-30,0.77,,1.5276,bf6a7d3dd6cce0545084a98e7a73a502e8d3de6c6ea32e4943afead80684f012,432243,2,1
2016-09-30,,0.77,0.7576,7612337ff5c80b7742471619664f293edbd2d5bfb4a2db9e2f80e541503751cd,432252,1,201
2016-11-18,0.01041539,,0.76801539,5932cd3a0955aa02426f9f2793aee55fbd2432f9697194dc37dddbf3d5c864ee,439548,1,8
2016-11-18,0.08,,0.84801539,fb9787869c321813ba2175486c03ae0f7c474067b7abe9e09ff1dd7fc94c3d93,439552,2,1
2016-11-18,,0.08,0.76801539,28c120d300bf27d3e99d04aca5372d5cf6f3dd75121dd5cf820bc16f785a5be5,439561,1,201
2016-11-19,,0.01041539,0.7576,79537fdd18b0a264c95f7bd49156704771a5c5d4772da77864b6cd78f99559db,439578,1,201
2016-11-20,0.2050271,,0.9626271,3197ac4ed1b2278c51210f71e15523286f60ae8f9583f798c6b7d8e112bea4c6,439832,1,1
2016-11-21,,0.2050271,0.7576,bad3dfa5c2520e4cc180a2358cc27df0bad3e6edc6bd00d17cfe64c16d575815,439887,1,201
