Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-01,0.15,,0.15,5ca47cad6fbe76af414bca091547f96259d8508783907951637aa20c06d658e1,469124,2,1
2017-06-01,0.13866962,,0.28866962,188f80245bce2d884b4b1e082fe3ea074620b7076522b306e1cc50e0d79c8330,469130,1,1
2017-06-01,,0.13866962,0.15,c62a280c000423f5e04ec35c07fa4ef10ca40a3dc62105e2246a82116388709a,469222,26,101
2017-06-01,,0.15,-0.0,f5f0a39080a16308268521a891b0a1a6f6c69595381f5952a561a0938f3387eb,469229,19,101
2017-06-02,0.48691044,,0.48691044,586670e2478744ae7dfbea0410b974beaef6bf85bb6bed5600a0a19d6b2a330c,469310,1,1
2017-06-02,,0.48691044,-0.0,b128f2a5f951358447c4581f0f1aee0c73a99e8f6a135e4c9854471daef137f3,469313,2,100
2017-06-02,0.31187456,,0.31187456,6e4e8bdc851aa438866d3899f345b9358415158ca42dcff8094e41efce651af2,469359,1,1
2017-06-02,,0.31187456,-0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-06,0.29811025,,0.29811025,47d033215305d2d4c3da0416f1f3d2b1df67b326b6d597a2da80c5545494e091,469951,1,1
2017-06-06,,0.29811025,-0.0,837d31e7f5ccb56578a52dec6c5998d731b7964161165c28301f38b73d91e96c,469953,6,101
2017-06-07,0.24586664,,0.24586664,06c2076f84b5ecefe1e0cf559ce23a679b7b3ecc19e508ede719539796234c57,470189,1,1
2017-06-07,,0.24586664,-0.0,27e8692e0c08c3075bf8ee071a220e27c71cbd6246c0c8745cd84a7e2a33656f,470191,7,101
2017-06-15,0.14810915,,0.14810915,27f4518678b6c095bc5ac84a19b26b96dfaffda3cdab1d3abcec28530345eddd,471355,2,1
2017-06-15,0.14217852,,0.29028767,1983cb9702b45cd8586bb16672b328075c34b6ec4efedb741789d8ffbb54b5d1,471355,2,1
2017-06-15,,0.14810915,0.14217852,5491e0973247772edf95409812b16ecc2baa426e2ef1c1702c2deed9c3a3a69d,471357,14,101
2017-06-25,0.15017058,,0.2923491,aa2fd5937b46966f956c8de2819d9f7eb2c5b777bacdea6b1b634fa3eab3bce8,472788,2,1
2017-06-25,,0.15017058,0.14217852,2cf012d66ee695b5a8200a7755cc7e4833b1256e49c222d0f941f23e2b8e1dbc,472791,6,101
2017-06-27,0.15717947,,0.29935799,61263a9c29391ced47f59645e1e5bf7968dc5925232cf4fcc6b1609690bad02d,473058,2,1
2017-06-27,,0.15717947,0.14217852,02275fe38f05f1934285dafa3b075aaf564165f87ef7dc76d79868e6419fcca9,473060,30,101
2017-07-11,0.085,,0.22717852,dfc6ef8c36272054f1f07cc2a6b5c04e31167126b462ddc4073c306c6c2ba348,475229,3,1
2017-07-11,,0.085,0.14217852,d0460eb8eeab6a96195964d9898e79b43dd5307d943fe562f4d4153f1504c194,475232,44,101
2017-09-02,0.03880103,,0.18097955,c291bbcc16f2a9ddf5a2a3004da18810071b83b5b8dc8549c5ba79dda23b51d7,483073,2,2
2017-09-02,,0.03880103,0.14217852,844de31eea631b6cfbba2d21210560b7cc0e9d0bc928fe983ac3dd641440216f,483077,8,101
