Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2016-02-22,0.114155,,0.114155,afb7f4327731e5dae212fe1164a63b854d5f18ecb7bae88f073c1b368af22b14,399592,2,1
2016-02-23,,0.022474,0.091681,8a62f4410a42916408a06329d96c3acd758da8893fbc7bb142a34ebf56a48965,399682,2,1
2016-02-25,0.11890436,,0.21058536,2aa7fa26ea59f4223c3699a8acfe2152efc98ecfde1c311a2fb56363bc834c3a,399979,2,1
2016-02-26,0.11550278,,0.32608814,ce3e53fe1adab01b0794f9cc559b0e10476a7316b8612ff87e31c3412536c08c,400126,2,1
2016-03-03,0.11718109,,0.44326923,fe5b790c5ed466346f00044c395485ad909a1b677500e86d97f99d75a1193809,400972,7,1
2016-03-17,0.11729655,,0.56056578,5ad856b2de5acc0379ef8ac8f632e5fa6313a2acbb2cdcbbcb57429eb226e3ca,403072,3,1
2016-03-24,0.12010569,,0.68067147,b915b8142e13114682872c49ed5311700504da09731a2c4aeb810f7a10adc3a1,404106,2,1
2016-04-07,,0.023233,0.65743847,506333146696ee7d80fa588b8c4c63295a6fa598d23913055dd4235da33ee55f,406126,2,1
2016-04-07,,0.00897045,0.64846802,1620e9a14b19da7c7f4e7c5c48fde156e3b5ac9f6a33a6cbd7a16c2be8e7ab87,406130,2,3
2016-04-07,,0.10653233,0.54193569,87f96ab884d72f543817a175e4f9dc8562e0bda56f1be10acabc91b5e41a2680,406130,1,5
2016-04-13,0.12,,0.66193569,dae659d3b7a5b3e6c327a7bc3a7863b0e71314b4864ad788dacfea08cf564bc1,407007,2,1
2016-05-05,34.9999,,35.66183569,861ef22434001898c226806d812d688a7de8692289581c30f3afc12d19bcb301,410395,1,1
2016-05-05,,34.8801,0.78173569,0ebc168590a80ab4c762e473d5e50d1fafb76ddc8c7a33767656dc7ba74d559c,410397,2,2
2016-05-05,,0.01528,0.76645569,f707a69dc737bd28fd970517df1e671d227df2e96be44cac83624dff5e392602,410397,2,1
2016-05-05,19.9999,,20.76635569,331c45f2fbba34cf411353b9ffc71a444857c92dbf1b9d7b278577dc2a1f2b17,410398,1,2
2016-05-05,,0.46747291,20.29888278,bab961ccafb805c7582c76cd46de234f913505b1ba2e540e5661700ad91e19d8,410398,2,1
2016-05-05,,1.93190806,18.36697472,87d0ca811116ab437b07ba91a2f140eaff464db5270f911cc03ce960de507db0,410398,2,1
2016-05-05,,0.41739724,17.94957748,8461b36ba1d24ddf70756a8df39c0de54473c1bc4b000e39c8d225445acf8a17,410398,2,1
2016-05-05,,0.33393779,17.61563969,b03457a8fff41068ab43be5279a41c5bf229e33457a9c2591de2c7208cd74225,410398,2,1
2016-05-05,,0.99271105,16.62292864,8f9d96a0a054dd8e47bbfe2ea1099d72a5ff34ca153c84421a82bf429420d237,410398,2,1
2016-05-05,,15.79558,0.82734864,08df40c53ede0b59cec76eceef685d67df94b2e0f362cb4a6f26238a308c220b,410398,2,2
2016-05-15,,0.022342,0.80500664,b0129b3280732aa12d7f580aa2137746bb966c09eba41298a73e88bbb20e6ce0,411906,2,1
2016-05-25,0.10952663,,0.91453327,2494265c9e275ffbea9944f8e7ade048b8cd1728d13d44d6f7e1d865676e35c8,413364,2,1
2016-06-07,0.085,,0.99953327,35521788f33a826c071e6ce413c5bc559a75ecaf4929420e2f81847e13a61991,415200,2,1
2016-06-16,19.9999,,20.99943327,7243ede37a1ba814f2b5c9cdb0c980b74961196832d6fb2f4ac697a4f8eb5e9b,416536,1,2
2016-06-16,19.9999,,40.99933327,caa9f1e045bf3280bd6fd29e748847e7c7f5daa5286df93e4b47bdc7c01524fa,416536,1,2
2016-06-16,29.9999,,70.99923327,ac028cfa3c6d41f02a7b5206dd77e430babd95255fc44c625d89a925d65f2176,416536,1,2
2016-06-16,,1.0001,69.99913327,6b1ed0b3df22125e5c62ff9f20f3c22eb652450c27bbcca0376ebfa5f8b44e3a,416536,2,1
2016-06-16,34.9999,,104.99903327,13bfbd2fac458cb1e8fcac6c32fd2efb1594bdf83849d97fab388a7f5aceb9b1,416537,1,3
2016-06-16,,20.76732242,84.23171085,c6f010dbf91db984d92e00465c85aeaa39c78723bc8c18c020dd1331c8c0f1bc,416537,2,5
2016-06-16,39.9999,,124.23161085,15fdda12d2b5114b648580690d0caa4e70e3baf20fc5be91b821a322513334bd,416537,1,3
2016-06-16,,19.99772242,104.23388843,fc2577a3262fc247ad3793ab8ed1570ae5c60bc4183a3da77e2ed4402cdc305f,416547,2,4
2016-06-16,,0.00217758,104.23171085,7f3f5db88e39bc49415456b8e6bbb69fbedf849bd0a4a810b85998e728875542,416547,1,1
2016-07-06,0.0744,,104.30611085,cac4bd6c0923c057884a33570f2e92cad46da707fd1675bfee535d152792c0b1,419585,2,1
2016-07-07,,0.03894375,104.2671671,189656f99c345e108184f9875727092494c8fc18965872422e08682c60d5b56a,419740,2,1
2016-07-18,190.2219,,294.4890671,2603a843f4c609c703505f76f7b7bfa998282c6dfce3ce016f21da917db6c4b1,421246,1,3
2016-07-18,,30.2501,264.2389671,1257494743d7e001676fed2b3ca022226e06c99dbf916e93017d2d1252b155c9,421246,2,1
2016-07-18,,159.9718,104.2671671,eab8fc29832749082b08245e072efe2b8fdc587548f1b8713732618b53aadd80,421281,1,2
2016-08-02,160.00705625,,264.27422335,8d0d37b4b7a0f6fca3b9063ecfed12bca484bddf36523befae3360f5fec2ef20,423330,1,1
2016-08-02,,120.0001,144.27412335,bad85ef94a291c04e0fbd43cfb4ac53094a7ca5dc834a9291b3df526955ecf9b,423332,2,1
2016-08-02,,40.0001,104.27402335,6c41140fbfb9d687a7ee8ebd07a4080bf4b88b30723cb31e6f5d6621b7aac1e1,423332,2,1
2016-08-11,0.0844805,,104.35850385,df38d709c320d9b11a1aba74a1c376f182a6a54532ae15bd038d7e5ca373ce41,424664,2,2
2016-09-15,0.0817,,104.44020385,2759605239d9bc834fdc73045287ec51f67e61a01ad0bcfec42995a56657afda,429840,2,1
2016-10-10,0.0815,,104.52170385,63fafa25f9507ddfcbdea1617bc464aeacf1757b878e9ba23e933074dfc3b5b4,433704,2,1
2016-10-11,0.07861264,,104.60031649,746fd10fd6188b82f78c69e51aec878571e650cedecc15f3320d0bbb43e231eb,433908,2,1
2016-11-16,0.075,,104.67531649,31f4763f41d3e82a16ee30342e3ecd169aa7ff808d2cc153205bf4fab5911262,439230,2,1
2016-11-25,0.07001,,104.74532649,cb9a62544fcea3be1b49d243e7d716477dd0f003b779cb9ab882d95b49767359,440557,2,1
2016-11-26,,0.0844805,104.66084599,38da6fdb46b8b1d3f1e171996714fca05e38b0ea76e76316b27b2aa09e095f27,440712,1,7
2017-08-25,0.01192159,,104.67276758,ff4ab33bb0edd5f9dccc1152a380a68319b12274a3983493fc53fb9e7ecdc945,481949,2,1
2017-12-05,,0.01192159,104.66084599,712c2f6e0d38bc20c6358c6dbe828cb908637063767bed136ee884a02c2edc4e,497703,1,1
