Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-25,0.14008805,,0.14008805,91fa635a293406c2726a582c72b16d752a83de19f57e44d6bebc067f61fb0204,468014,2,4
2017-05-25,2.00422308,,2.14431113,6c1f77d549f4c055c5b1861fd65d54c7d75fa9094222ca7777df1792225a5a3c,468019,2,1
2017-05-25,0.14318416,,2.28749529,f6599bfa3d0d344567823d09d7d8d1e06518ae5bfd31bfa003379d48a5fdab95,468022,2,1
2017-05-25,0.03174386,,2.31923915,83767d8274c459a8e03032020fe4997c06b7a4354c64fca3f3e3bce998aaadcb,468025,2,1
2017-05-25,2.3371882,,4.65642735,31a3ac8604064159fe163b7703ca9a9ac69408d914ea3eed1f6e5877bbbede28,468028,2,4
2017-05-25,0.20273545,,4.8591628,c6a2e66cd29f447a76f03644f67188e5c99df0e58d8083dc2dd275d070b5c619,468034,2,2
2017-05-25,2.46763468,,7.32679748,cbbd5eae69f02c77d1a3336d47936bd104c87acf7216bb111f2ef91f06260648,468039,2,3
2017-05-25,,2.00422308,5.3225744,94e9aeaea67da46741c4e8e23f49a6a265d5f60be548f03c93a018f0323b074b,468043,32,91
2017-05-25,1.99919701,,7.32177141,cefc140ec205b27929ef95edef858680c6b605e545fbc8c06b432eff4e27d8d1,468049,2,2
2017-05-25,0.7629821,,8.08475351,4b0cb687e74b321d9d7d31206235aee4eeb4741a2e8d759b26d98eabed9f1ce7,468050,2,2
2017-05-25,,1.99919701,6.0855565,c2528d20662dae233bd2055fe4e87ed73479c263876556d082efb1ef5aef2b62,468054,18,100
2017-05-25,,0.7629821,5.3225744,bc5501b331d2ba5c52246c89aa6f90d9416d469da6931e3c72aa20c7b2149686,468080,41,61
2017-06-01,,0.03174386,5.29083054,1be9a27baa7f35a04614adab7d4e9f328ecc259e8d87ded6d911791b268c048d,469124,11,101
2017-06-01,,0.14008805,5.15074249,dece4383eb444dfb53a1cdbf280f512cf5f3913a1fb28817b8239005eb05c5cd,469225,23,101
2017-06-01,,0.14318416,5.00755833,158e7c134dee070f2148a7abd7687af77dccad7eed24722dafb1820e6fdeab6a,469225,15,102
2017-06-01,,0.20273545,4.80482288,78ac848d4c7ec4ae616add54771a0d60a5db034fd4870e2ed4052eabf1741bcf,469255,3,100
2017-08-04,0.04,,4.84482288,ee557f9be10c1e8a554d386eed9f9293015c21492911077129abded8d051d8e5,478941,2,2
2017-08-04,,0.04,4.80482288,d0bafeeb5414b5dadf7ebdeaa5205de4c182189eb0dab00ec0ecef0b0fad504b,478947,19,101
2017-08-12,0.160213,,4.96503588,f506b66548e9ddf6fb9b1234f372cb8cd663b467face5a9fe84339608af8047c,480192,2,1
2017-08-12,,0.160213,4.80482288,89512ad9075e40b05667432f7332e1f25f194c01245f26311470f9f65dc26aa5,480195,14,101
2017-08-21,0.13516603,,4.93998891,4c8ee20bc508e7b6a5b8cbec709e4883eaf879354875b7f6850f6ab053b51b8f,481511,2,3
2017-08-21,,0.13516603,4.80482288,ec86d5860e32413dbb040db97da7340d25565420b0725dfc9a28015222cab3b4,481513,54,219
