Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-02,0.37947384,,0.37947384,880f74f7caeb77c32be5e298d721dde9a149932547cff44290ddc41069a79d3a,469359,62,1
2017-06-02,,0.37947384,0.0,4fb5baca7a473449c4e4c28703217b348c00c538e704baeb787b776e6968f3a7,469364,23,101
2017-06-28,0.00087605,,0.00087605,295875aca672ec620fd8210705c7cb83e6338000ac0a99aa615fa40e34b6be15,473209,8,1
2017-06-28,,0.00087605,0.0,02d986745efc83c998968e5197330f014f1c18ba11e10294ee760e03ae8bfa41,473212,46,101
2017-06-28,0.41779725,,0.41779725,d6d12b9e4154702019c660a5c98362f61b6e9898b7dd85e60bd110de17a12fe4,473241,15,1
2017-06-28,,0.41779725,0.0,a8b73e0de732119268639466f2b1e4cf164a1800a584cc15767a97a8beea84bf,473244,13,101
2017-07-02,0.87441317,,0.87441317,310939afc910f0457587910513106c0d8134d02bcbf3a88a39fa977e37c71a17,473848,20,1
2017-07-02,,0.87441317,0.0,cbcfe971d3931a3088b2306f387300f29e086b84ad0f746ec2ea50297845626b,473855,6,101
2017-09-01,0.79518197,,0.79518197,2583a68c7ef1f8c5f8c9bc84cab3649edc36d9b3b6255739316d15c21b6ba0da,482961,25,1
2017-09-02,,0.79518197,0.0,80be7099ab68ebc5d4577e77141843dc7c68963cc927d63e7222a0311898ba09,483121,64,105
2017-11-12,0.359,,0.359,fb4a762d6b44ba369943b49c1a07fe004bd7aa4999ad3bad4e5ede6b388638ab,494074,27,12
2017-11-12,,0.359,0.0,33e7800fc3a746b0d7f55b0fb5afb0b6561d47f11ab9bb74dea9ef9fd9e73f83,494076,84,101
