Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-03,1.4493052,,1.4493052,93e84688c4a6593caf34834f88b890711621b542f911679463bcd031514f8115,469556,1,1
2017-06-03,,1.4493052,0.0,f81d9566e4743abc18be3985db475c21ebfaeb82c58f4a0e9b2332d272eb624d,469565,24,101
2017-07-11,0.06438631,,0.06438631,69530f29827cb5745879adf03c53a63b925c5a40d60af114603f7364c3c51b2e,475282,1,1
2017-07-11,,0.06438631,0.0,e518719b94f15e2949b7a47eb2465d709c1f0813e66ea41b431b315043194d86,475284,33,101
2017-07-11,1.3,,1.3,5a84540b9074e01ccc46ba7a374d7ee697301eb2231780f2d0dfe344182f5168,475292,2,2
2017-07-11,,1.3,0.0,b1d364a2734ec6135cacf350c515527597076427753218772f5a298b8dd5f97d,475296,34,101
2017-07-15,0.2502426,,0.2502426,164256dc3fd30f1cf88696d213485ce27f93ef9fdb514e2403e048c4a216bf2c,475900,2,2
2017-07-15,,0.2502426,0.0,56375cb01cea8334fedb4238c57551d7425eee213820e70b97da7e08bcf41ed4,475902,11,101
2017-07-15,1.09,,1.09,37dad00909d68c606b3d4c93ad2b3d42d01de5ba2bf4a223f8d30d52129b8013,475904,2,2
2017-07-15,1.08,,2.17,4ad23af697bf03384608ca94901478f0473fc8ea4570084a6d587c15d888c959,475904,2,1
2017-07-15,1.74,,3.91,eea06be0461bc96430720b1f3dc81436c3db2f104ba026dc40f4f10b269b45e4,475908,2,2
2017-07-15,,1.08,2.83,9fcbac275c1cd56a9192ad1cae527c19350540959f20e53c9623eda8e57ef178,475909,11,101
2017-07-15,,1.74,1.09,893d81587627cecf912ed35c966e9c22d94e4e16f22d425048075dba35fd9fe6,475910,7,100
2017-07-17,1.2576,,2.3476,32b4e14ecded93a1948ae66ffa3e0b3ce9c2c794b1841207e4f384ce8cd9a606,476137,1,1
2017-07-17,1.41,,3.7576,fa2d2c6b22222352645ae7cb7136c1184129113fdd72ddd1313b9a60ab46030c,476137,2,2
2017-07-17,,1.2576,2.5,91e7be18d90ea855829937c04022c33b04950fb8cc289ae8158772c110853183,476141,6,1
2017-07-17,,1.41,1.09,d03b51c1d0dc57ddc1b43bcbf05b1ca40a62a31c95af8b68c6072258ca2d2b2c,476148,5,101
2017-07-19,1.41479,,2.50479,6e9922a39c3197af4a4bd523f464eec7ee2cea228770238107520dcb05de8aa4,476480,1,3
2017-07-19,0.99862239,,3.50341239,7533feefe377eda5b729a49d802f76dc4f49cbd7e1f0042104a48a86719b271c,476480,1,1
2017-07-19,,1.41479,2.08862239,93a788daac806fc2be9e4684277e54553f6da0d35aea7e385026f9c32a7503d6,476484,10,101
2017-08-21,0.1,,2.18862239,3cd3d347bf53b75d178cdf9fb741e6a35bce3b7fa219cc4e6927ee2238760f05,481540,2,1
2017-08-21,,0.1,2.08862239,4236f301e0179caf04c0f2c34e2e6e3c49257f875a98f31ed1642291b0037d41,481543,21,176
2017-08-22,0.9,,2.98862239,b50d6b3b252ba73b3ae1b06ecb5d07bfd0d93bc2d8e06a202ff2aaccfccbf892,481547,2,1
2017-08-22,,0.9,2.08862239,b37a7c85e3f7c5489cc3667165f949b901985900bbc6fcf28ec97fa7664043ef,481574,77,194
2017-09-11,0.07598622,,2.16460861,40e9ddc712baa83c90d2521127b0d3ca6664836acf926db9c354da57e4db3744,484609,2,3
2017-09-11,,0.07598622,2.08862239,34e7d54ae073d7e60a2cd36eb7bfe357782a30567e6bf7de12bcb0832a1276d2,484612,14,101
2017-11-15,0.288,,2.37662239,57b398224f9dca8f0c04d8e3332da3cce736f06d97af328585a63aba7890f0d3,494446,2,1
2017-11-15,,0.288,2.08862239,dc3cea67e9174bc14638a277ed3a86e63b0e9f2a0daac88353b4665d5d37a828,494448,20,100
2017-11-24,0.2337,,2.32232239,b48258d9029b4b299adb10eb0e1cd4b122c807f6f09fa6257f792275f864b000,495802,2,1
2017-11-24,,0.2337,2.08862239,7ce2926e1b431dc7b8126e2383d4cf8238b70f798a6cebfcdc8e701c265ad2cb,495811,20,101
2017-12-25,1.84717733,,3.93579972,dcfe06bc4ccd519c7af0ff2b176ad9dfb905e8e534af1e492587000c19c99b1c,500989,2,1
2017-12-26,1.15461643,,5.09041615,5030ddec2ce49524e250b2f953400bede62c839bc5283e21b13591a93c8ead1a,501072,1,1
2017-12-30,,1.15461643,3.93579972,ea9a4db7d645f3aa6821bd8e612fb0db662fecf1177adcb999148181fd6bc064,501723,40,201
2017-12-30,,1.84717733,2.08862239,f88f4986d171140603c18b895605501e3b4a49072686156aa23878630f4a4eec,501755,40,201
