Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-08-24,20.0,,20.0,7a581c6def11c33e61ba5c5899759065297325caa06da29e314a3f85bb72d9b7,481861,2,1
2017-08-24,32.25,,52.25,98b45fa0ef3dd6dd3a26d9c197f74b56a16079cd46d0476132a5ac9acd22810e,481864,3,2
2017-08-24,0.588,,52.838,9f3920d064fd42545e65389d76a69ca16749d4068178d495d80a497e402fc9f6,481886,34,7
2017-08-27,0.691813,,53.529813,4fe324e9094088ff4ed49372f0c21eeb7a64519b7a494c4557d200a236a6c455,482110,3,1
2017-08-28,0.041185,,53.570998,7a277438180b6e2d6c63c83ebc44231f9f6a98dd8e9141e2d75b7a2dd3d6383b,482343,2,1
2017-08-29,0.08986,,53.660858,6f01fb037bba92793dac43a00b69d7e1a3bf3243717190679c4c5c9b0d01da61,482483,2,1
2017-08-30,0.034,,53.694858,050890d650fa8aff7ced8ca69f0d8ffa2984b8ed434475502fd91d2cb982a217,482608,82,101
2017-08-31,12.0,,65.694858,8dd834cb0ef55adab49520703845f185c330fd8ddc6cf6a0f43d4bac362ef2f7,482800,2,1
2017-09-15,7.0,,72.694858,f01a970ca3ecc02879797579b48d0a7091166af1adb2ffca4d14efd0767edff2,485273,2,1
2017-09-15,7.0,,79.694858,92feadfb8ad6783e996306338c2611b037c679278d9dd339dd36d475547d7349,485275,3,3
2017-09-15,0.26106423,,79.95592223,60403212e8bb07ad40fb6628ce9e91d7713ce6bb6c5c0d3e995f73ef8dc66a36,485380,3,1
2017-09-17,0.13676712,,80.09268935,b06b9584e83291dde75055630148b5590e87f63dad416f7c8560d3ed8b53e4c0,485739,2,1
2017-10-08,3.0,,83.09268935,7f11d24bebe34ff2644898cade8b58146ae1b17f3368e1ef704ae001b697ff10,488926,2,2
2017-10-16,1.14493262,,84.23762197,6440bd2f40727b06e9e930630ec73c1278a558279c80e620265b8e3662a89459,490127,2,1
2017-10-17,0.23667602,,84.47429799,6cae568450dfa273137dfcd64584825b2f0332cb5c574bc0b763edb539fc8505,490216,2,1
2017-10-17,14.99974914,,99.47404713,b866d29ba196b7c18d652fc1ac432fe41a5aa16571774bf99095704738d8fdf7,490325,1,1
2017-12-27,,7.0,92.47404713,5f695fda674feed29108dda91b64172165b3765acf5b4abd7f6a0e44249b70e9,501334,1,16
