Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-10-14,0.00241333,,0.00241333,1b7dd11bb198684fee5b724196bb37eb1ac4e520f462e4a743b3615df5383159,489723,454,1
2017-10-14,,0.00241333,0.0,304e9c094dd4aa72a295a3b0a13aff6804c1f6b60104f39d69e56259e053e681,489726,16,101
2017-10-14,0.02426208,,0.02426208,6f7e7e5a8f339853f0d08726d168320c1513904d0cc0bbf388f4c4ecbc313e74,489746,298,1
2017-10-14,,0.02426208,0.0,c19da948363018bafc770b9377af7c4068cd5919f2f1942147e21bd7f8cc32b0,489751,15,101
2017-10-14,0.00384789,,0.00384789,7fd270897d84f0a0565ab328c24e8960479773be28eb0b7aae7175f6a9fdc206,489814,2563,1
2017-10-14,,0.00384789,0.0,319cc7bbdb69099a3f9c86bcd283e5da12e95be9de8a1f9859381674f23df21c,489817,61,101
2017-10-16,0.00381597,,0.00381597,4ef4a2265b4003d3bea6e64e91f507b8bda6c3102f4f7b445a93e446a3649d1e,490036,2562,1
2017-10-16,0.00246661,,0.00628258,c0b1bfef77fec6800e8e71c0ed3e90bf93e7381a6b8ef6604335fa1b0d5d161f,490037,466,1
2017-10-16,,0.00381597,0.00246661,131d026697b85ca15a75db10dfd4d071bc9ac2f707a361c28eb21487a57cbb8a,490039,10,101
2017-10-16,,0.00246661,0.0,0d57d062dde61a59cbce826dbeac04659f0223c359e62e6e47a9470c46c8c2fa,490039,56,101
2017-10-16,0.00384231,,0.00384231,66de53fd4efc747963158f0088ead9667fa18da7f1f701d873cac2cb01b179ab,490186,2562,1
2017-10-16,,0.00384231,0.0,7c64bebdf6015a64788d2a69a6660acaa4be560e2040e410475952c81070fb07,490188,29,101
2017-10-17,0.00385457,,0.00385457,31ee1e3ba5d0f20b3b2c5f84a036fee84f57ed59c34c641a2e32040f648729e4,490303,2563,1
2017-10-17,,0.00385457,0.0,fefe28f8e0403e7f59ed792b3fc786ecdb1bcbef5c8eeeffe44a65f7e88bd119,490306,41,101
2017-10-17,0.00247724,,0.00247724,a1d5521fbc42c3b6b8104501d63e0ca58b05fa2ca875726070a7c6d0182cc0d3,490309,463,1
2017-10-17,,0.00247724,0.0,85d7f25d2982196595782a5240f6f3cad9d75949531c4de60097f95e2aae7aac,490311,49,101
2017-10-18,0.00384472,,0.00384472,48c2f49cef8850d124668f3f4411edbb142e9485c90dee48a995932a19d58d4f,490511,2563,1
2017-10-18,,0.00384472,0.0,08f86a787f740ee19b01d3b792896d26032f0ad63d428ab6c00814563dcc32cc,490514,14,101
2017-10-19,0.00380007,,0.00380007,8a5fc7bb543e7ea50e423f98de1b77b6a2d90b3d8ec8c5537b090584ad2be3c0,490629,2564,1
2017-10-19,0.00246047,,0.00626054,9a001c10c1bd78a8448cf2fe47023d688d2be042f16131198c601784384e1d50,490631,462,1
2017-10-19,,0.00380007,0.00246047,fcf76ba62ed29e8c7901e646c8cf64db6a697d81ce820ed4f44d3115b79961c4,490632,18,101
2017-10-19,,0.00246047,0.0,06680fafc0eef0dd49071c80f837af1daeb83f68db2ba687cca95ed39ee5a879,490634,79,101
2017-10-20,0.00384954,,0.00384954,6ec44388169a419abcdde5adeaae4a88cf5720378f0887238a1c29622cde4657,490847,2566,1
2017-10-20,,0.00384954,0.0,f268746b4b58d6cf8a714880ec0e9775c85beb00abce634b8bb61b098fcd2ead,490851,105,101
2017-10-21,0.02370911,,0.02370911,2b6b117f2a28e5f159a3772aa3bc91271655e8461722c719b97068874c7e569a,490922,330,3
2017-10-21,,0.02370911,0.0,24e692466b47678f607b7fcf1086f5a683ae26b55e5b7e785344ada4577ec1a0,490926,15,101
2017-10-21,0.00382712,,0.00382712,4bf8928f39d046b584ad6ae2ce2e4b8ee3857688b8eb14131599b61cc7346e61,490992,2566,1
2017-10-21,,0.00382712,0.0,761d242d020344b5ba031c9a57874b6feaca72a725c051a92af8f6eff7f3759f,490994,71,101
2017-10-21,0.00247073,,0.00247073,96e04410ae9a3cc18c83010a82f7837222dee81dac8c20da296da55fe90bdd58,490995,476,1
2017-10-21,,0.00247073,0.0,84ad0db42572a1e7d3c5d4f0d7043a8d08d19441304f0c1880df0c4a7dc4bef7,490998,92,101
2017-10-22,0.00383438,,0.00383438,d369293b3c604a34b6774c46045fc2b42c191716783a595ac2628dd298df2ade,491181,2568,1
2017-10-22,,0.00383438,0.0,76b3453e2efd109097365435635763e23f777ded86df2994f62646d136b6df88,491185,73,101
2017-10-23,0.00380249,,0.00380249,8aeeb58b7f84a71083b80fa97d582cae43adcfc2aadb105b6423e4c394026091,491322,2569,1
2017-10-24,0.00245793,,0.00626042,905181e5b2e231a405a776be5bfe826217e81ecb4d00b2214cc2aae3058d0f0c,491404,475,1
2017-10-24,,0.00380249,0.00245793,e3081b16c33dca05cbc81eb764ed0706ef9f236302c4642c695cbe5a5a870a7f,491414,23,101
2017-10-24,,0.00245793,0.0,ab4ad9d6e4540fa665dee1e23f87276aee86b698a4f92c56729cd62e77d2afbb,491414,27,101
2017-10-24,0.00378509,,0.00378509,e53a7c1aa1d9570592be5b66f1264b12f9162f6cedec46228b92adbd5e98a047,491538,2565,1
2017-10-24,,0.00378509,0.0,6e8ef0de2cb8a9cefd8432dbb534eadbf8b625b0a7064de1bd900b409c2f433d,491542,23,115
2017-10-25,0.00371831,,0.00371831,50db1848456ba4d3e834af50821b5e88b181d177e9f0cd9268c2303851b521fe,491638,2566,1
2017-10-25,0.00241497,,0.00613328,5e17e44d193d607cdbe8c96fc86fca7f1c5bb6ad0c571d0391c9a2c8551be012,491639,471,1
