Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-08-19,0.1548,,0.1548,48506c153c472328f33a40e6ee07d26abcd1cb55d3efe50065271f9fda015a00,481298,2,1
2017-08-19,,0.1548,0.0,a1185eba165b07030a0cb82ee5c4e8c4fc0f24137c6bd1a47dbc0c524a50df3c,481300,77,101
2017-08-21,0.1561,,0.1561,9ca2ea4b177d7aaa66cb76127f5b68878a08733c730f27ddc63998a28ba5667f,481447,2,2
2017-08-21,,0.1561,0.0,f4b47854f96c5e833f52372c9271761e0bf04c4a22a26616ec237bbab536a14d,481450,17,176
2017-08-22,0.1548,,0.1548,f6d109e97d4a7dc969011ba05ae09e0715b91f0e59da6ac0e919ca0d8ffe83a9,481559,2,2
2017-08-22,,0.1548,0.0,e9319e5103ff5c37ebffaf6394dde5c6a48f891b8c9dcce6998f50eb865d563f,481566,30,187
2017-08-23,0.17079,,0.17079,d1339614de9ff0ac9570253cd82c08ea0cbf39c93c10c02d14a6ccf9e20b9d52,481640,2,2
2017-08-23,,0.17079,0.0,507e04ad52220aab834da396b9db8f62ba18117466d140d8ef778c68c310bc68,481657,14,176
2017-08-23,0.1548,,0.1548,250453139412a3fc63ee7e872bec8eaf45276e539f0a516030bf99458f0d1507,481775,2,2
2017-08-23,,0.1548,0.0,a1fd4ab0a54e8a87d0f1d0b41e3d4465c5bc4a8064b6f1095bd770080b50802e,481788,12,176
2017-08-25,0.13,,0.13,54e4e8800402565533d779990098ac1d49344f12580340f053d9c21885dee6dd,482001,9,22
2017-08-25,,0.13,0.0,e64893bc2fbf57ef57500716d65af326eb26290d29c58723cd2bcdba263714de,482005,14,101
2017-08-27,0.15,,0.15,92365774e3ae55b85299f069ee899a0267fbdbaa4df61f84e157a90ff1e9fab6,482105,2,1
2017-08-27,,0.15,0.0,5354672fd389d49a6a3db3b75a41f103959b2e5e5be5c9febc3ba26f445b930e,482109,65,101
2017-08-28,0.15839252,,0.15839252,5f9c672807579f4806302e67d47ad344f95d98d6a586cf969070a249116945dd,482319,1,1
2017-08-28,,0.15839252,0.0,3ec0b02d01f5ff3bbbb226ec2c62c9b67d6e9ff32eae865d7c92fdad2e7073d8,482321,57,101
2017-08-28,0.22499344,,0.22499344,234169969589bf0dd2d6058f2e5178fe217dc9fe4eba1bfa4d70fb98366684dd,482383,1,1
2017-08-28,,0.22499344,0.0,d3991e14d05023c60c0214f153de27ef0207618630a66177715006e76dc6f7ed,482387,17,101
2017-08-29,0.15518,,0.15518,85ec399596299081ecf9393dd6ede8f80f98c468f7637d3113d9a9f051ab4349,482517,2,3
2017-08-29,,0.15518,0.0,56e2a43b6de1a85a5e3afb336a5a86e23256af171d20f4ea2a18bb9224a0ec99,482519,68,101
