Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-06-08,3.14030052,,3.14030052,ba41e5b324e5995324219d7da8e718b98b07ecdb96711ed4e9ba50472c09ab9a,470257,23,4
2017-06-08,,2.0,1.14030052,c19643a13bd36f844c189657023a6df7aaf9838b58172e1aa2d1d7b2f4609140,470350,13,101
2017-06-09,,3.0,-1.85969948,9980700108eae19692f9e63372bef6f111cc371a35c938296c191f6c78d0e3cc,470554,9,101
2017-06-10,,3.14030052,-5.0,df5f637e8fa6f697c74163cdb711e98b514f11e4a093bfc0546b1fcdfe893641,470581,23,101
2017-06-10,1.43111579,,-3.56888421,474a0508aa2225dac2efa4f3c2061bb204dc8e48cbf2761e253dc04be3802277,470673,6,24
2017-06-10,,1.43111579,-5.0,a53a8a58c29ae3ab1b342f87288035aac635a70d31254d5930ea3b1e7211dffd,470685,9,103
2017-06-12,3.62758969,,-1.37241031,dbf2f5c3690d51b8857532b43e27a443fc76ecff813d6205d9866ee027d2543e,470989,25,34
2017-06-12,,3.62758969,-5.0,7c5ca70bf00aabd8ee50675c6124a1d5b9d16d7385378150efc510296eb495f2,470993,13,101
2017-08-31,1.5,,-3.5,bdc338befa89ce0b533ce1428d0db1eb8ddbc5cbc4463a992e7f79ebff6c9d24,482822,15,9
2017-09-03,,1.5,-5.0,38406f0384a96d6df51659f6d3f44a0e1610ce140bf1480a6638198e06a22024,483200,24,102
2017-11-10,1.46033843,,-3.53966157,31df2790cfe3fcfc8ebfec42bbbd89bb74ccea690af19a743706361db8886dda,493915,2,19
2017-11-10,,1.46033843,-5.0,9691f3722c3f3343f7e58b26f14d72cce6c9d930796b2ec02274d948225e13e3,493934,26,104
2017-12-06,1.2,,-3.8,4aebd76f04e10910796cc57575edd946f45f3a6de16ac27bbd01b7e9e12574d8,497812,5,14
2017-12-08,,1.2,-5.0,4ad3fa9e8eb4694d132286815387ff1071fb6885e6a74cc8b3f70e7f49079187,498189,58,216
2017-12-09,1.0,,-4.0,226670f3d1110b9ac3280372c269adc90701affe31ba904e2f4a63de26724e46,498429,4,11
2017-12-12,0.45,,-3.55,4531f08412b40e1318f5ff8077c39d2008f765584107f7129bb775985c9bb6a8,498810,2,2
2017-12-13,0.7,,-2.85,0593d4bc48d25f1f8f96e173dd5df44514a5292bad2075ec766d06fc67433dc0,498964,4,2
2017-12-13,0.6,,-2.25,a02ac064a55258f1802bd02906a9031708ce9d6a88cc1740000683bdf1ebe4a6,499144,85,6
2017-12-15,0.207102,,-2.042898,a81baf4964e0cfbb982f7845a27e28021679cbadb59b004d6f81b1234e90fff8,499328,4,1
2017-12-15,0.81720971,,-1.22568829,f0d427a3271b0860b809eef930a8861c94b5e7dea7da657157eaef0db978a9f0,499339,2,1
2017-12-16,0.5,,-0.72568829,3622a6141a04d25ace25a7bf93883d499bf3bda92488d5012dcb1638102a53a7,499624,238,34
2017-12-20,1.0,,0.27431171,5884f6dbf82f8ad6f0922a0e34272f0e0adb4a288e3ac12474cee710b5065f30,500179,4,2
2017-12-21,0.3,,0.57431171,ea24f2f5f0de184ea0b68b4a30d6170ce176b6151ec76806fc57b06fa9e6913b,500352,58,3
2017-12-21,1.0189,,1.59321171,689f6b6dc04831c08070d24f5cbe992dd5435e94245af380465e40096e0bda6f,500356,3,1
2017-12-21,,1.0189,0.57431171,be5db3709e9a9268e97e780783238fbaa6c5080936292ce662b18917e9e96fed,500366,124,325
2017-12-22,,1.0,-0.42568829,b9059fb17cd0958051f54703340b13bdb8b79e7f5e5fa5b2005f81174b1d46d1,500520,121,301
2017-12-22,,1.0,-1.42568829,4b0420d30c711a4270099ade645e0430e1f5db63f44d152366e2c664bb825aea,500529,98,226
2017-12-24,,0.207102,-1.63279029,f3577e22bfd3e5f679acf4b32cdac846d3735ecbd9d28bc3b26125c1cb87a01a,500889,57,201
2017-12-25,,0.3,-1.93279029,0977c2902817d2287e87c02dbc835704956ce2e3cf7048cbf241c80d74d8e601,501020,71,201
2017-12-27,2.05173569,,0.1189454,4e58d6fc2a5f435d7242c476083e952f2d5a1e591355e44c343188993db435db,501205,2,2
2017-12-27,,0.45,-0.3310546,5f562b97817d72c102ade9e165b73508abb656aa35d2a81d16157fd5f6340715,501218,55,201
2017-12-27,0.61203784,,0.28098324,2af478cafe234f769ab1ababf10ab08ef2724c09129164a5fd14304b2db34e9c,501298,6,1
2017-12-28,,0.5,-0.21901676,0308acd664c8608e4769d14f7119db1b06d4e0bb7806d1f969d04a02e89c465c,501336,51,201
2017-12-28,,0.6,-0.81901676,ccf0d3bd955a0fc24e6b7c99d784e61ac524292224edd971e1ab3b333400e2b4,501426,90,201
2017-12-28,,0.61203784,-1.4310546,0a10185d69477741ff39f577f089f2868611e63a7f2efe21b7d848b24b928586,501430,129,201
2017-12-28,,0.7,-2.1310546,765c7a11fb331c8308b83117e5c108f3b0710952d5ea11feb01a0b73c262f337,501473,32,201
2017-12-29,,0.81720971,-2.94826431,bd2bff7facbb51ab3f4f864f0fc152764fa3064544bde01e6bf76bfccfb7379b,501531,48,201
2017-12-29,2.9991,,0.05083569,565db0ce90e76c2b6db5cbbb30098efa6d0debd73174faf11375e7ccbae30d32,501835,94,2
