Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-05-22,0.08782127,,0.08782127,cdd38e1d0cc4f5dd62a0b64ad1578f2e35c59e382070cbfec8310ac13a911d71,467625,68,12
2017-05-22,0.08940712,,0.17722839,62f2c18f2c5fbe18c90dbe028e2ab626af28c1345a633c5d6d55eba18905e7bc,467640,57,8
2017-05-22,,0.08782127,0.08940712,c46578abd0c16a5d3eccb2b016b8fd5fe843036857ea0b0434491ee18f5deba5,467640,2,7
2017-05-23,,0.08940712,0.0,4d228dce4a4076a2c8386e064e0b15543c85352289a0e0ee4f871da22fe28500,467657,19,14
2017-05-24,0.08786458,,0.08786458,dfa10fcfc917787d01d71d8d18aef9786b8e107781c4a5b4ab0516f1066ad804,467814,56,13
2017-05-24,,0.08786458,0.0,eef0f48ac1f0ce76e2348d2fa9caa54ff1ac79357c5611f64be57cd09c03071a,467829,2,4
2017-05-25,0.07978626,,0.07978626,e5948646e3937df6b88ceac9905b6239981cc4a50048474d942d7f18e41f3459,467966,62,9
2017-05-25,,0.07978626,0.0,b2463367cec2625c033563d32e17620c0f53157b2f9f6b05f7c53314c404629e,467973,76,9
2017-05-26,0.08696343,,0.08696343,bf0df00ac39b91dd16a727617493142d939eb975addab6e6d9d927c22e6c5360,468276,31,5
2017-05-27,,0.08696343,0.0,78d26ed7c8a50b6dd0ec15b1c7329bf8c5d8e4ad629c57ca9adcbfd275aa28f0,468291,76,15
2017-05-28,0.09428128,,0.09428128,be7b68a57560beb3de16ed108497515149bc28df421a566fe80c1adb59f7843a,468472,50,17
2017-05-28,,0.09428128,0.0,18f8c80b57518e9a02191e7dab3bafef0e27f9cd6c0198dac42b4dd58a3884e6,468490,9,6
2017-05-29,0.08777845,,0.08777845,d495c9122242d7e92bd877c27d7805d40207519bcd30653b7b73bbd6ab3b791f,468718,36,23
2017-05-29,,0.08777845,0.0,634f670db6b35a432e83d47e4e4d2d6bb0d6c4ca9eb74576ed08df844203bd34,468745,72,51
2017-06-09,0.0492899,,0.0492899,075e89f89e559ef2af7743d987de8287775be4c289c2c766ddb70a8c06d817f7,470433,58,10
2017-06-09,,0.0492899,0.0,155ab285004b8d096e6d9c238aaffc3d5fddd6769be81fdb35b6b4f17f25ce40,470486,76,62
2017-06-10,0.06125561,,0.06125561,8660dab93f2cd1cf67df08dceeeb2c826ad770fabc129564f1dd50016372f558,470590,45,8
2017-06-10,,0.06125561,0.0,e0b7f914ad494d63d0497acb1812cda1843212114d3a33a7c110b55759cb836d,470636,7,25
2017-06-13,0.03192587,,0.03192587,7fd4afa60ddea86e8466ea32bbed8fa39a9d24e807337ff46525b89dad09bd9c,471069,46,1
2017-06-13,,0.03192587,0.0,8b24e7c6174eca82d9217cc35888665642c0af9eb4d6dec768af971b2af962f8,471104,2,6
2017-06-14,0.01831194,,0.01831194,ad3e722cf9ed343e3272c474a43751a218587b9d0e08c39de5dba6bb5e0e0e3a,471153,12,2
2017-06-14,,0.01831194,0.0,bc43b5a4bbd2ec2e329cfc540d5117dfab64b7db7040eb9ec48740abc742cdb8,471197,2,1
2017-06-16,0.0535771,,0.0535771,e8053bf1b9a495f9761cb6c207dbb12e148579b33a7564144ef14a96c6730682,471504,24,9
2017-06-16,,0.0535771,0.0,54b235222381860cdf4a9229935061ebdfae597f393c31c71368260f4b293b79,471551,2,9
2017-06-24,0.07246501,,0.07246501,7bcf8a1ff08939cd67b1cf7e68207381f5d8373cd3a424e9e88d305b0eab8f1b,472634,48,11
2017-06-24,,0.07246501,0.0,0685c8850c42c27ea7957f6c2619a9d119f7d6fcc27cca20c8863df96dd0d451,472703,7,20
2017-06-24,0.07670454,,0.07670454,b90300b4a6f1315a9e624504284313946a4e7e34ce13b455f16b141d6dde2ccb,472744,51,5
2017-06-25,,0.07670454,0.0,32238dab03eb0b0712da0b90206fd96acf0329f59306f43b5126933bde2d4786,472853,2,16
2017-06-28,0.07750015,,0.07750015,c03af8edea32b70bd3ddc3cfedf407c178e8d45fb1741bb24057e275be445419,473282,52,4
2017-06-29,,0.07750015,0.0,56641bbd316e0737f8ef4d2466a893fd7012ce025454f10f99a17eda726421dc,473370,7,4
2017-06-30,0.03069353,,0.03069353,591db2de5ffa8652a4745ed56c0829495dd5ce2b4474caedf0a4e9c9472b72e1,473427,52,4
2017-06-30,,0.03069353,0.0,8f57f6f00e381312cdc915b83f599f170ab01910a922b0cd5427ae87ef6b0599,473518,10,11
2017-06-30,0.02334189,,0.02334189,f3d5f5c32f0ddf64ec3d49f2c4910af24b34888edf62d244cfd9e03f80211c0e,473558,26,10
2017-07-01,,0.02334189,0.0,f513863ccbe81678c9f18dc8c4b6c1a7f3f6599a00c9a164109a33ab16635ab8,473664,7,5
2017-07-04,0.02084619,,0.02084619,529ce40f21c49f22fcb43fe65dffd511142acd32e91fff5e40a6e8705d44a97a,474217,43,15
2017-07-05,,0.02084619,0.0,ef1f0197dcc574b050c1e45a2b4113c595f3fdbfcd4424f03fdcecc177eb60cc,474322,7,17
2017-07-08,0.03851132,,0.03851132,fd5cf4b585c06ccf8c1e9a387149e9d0cb15222795b81ebfc23f9bf0ee5982cb,474845,42,78
2017-07-10,,0.03851132,0.0,adcd072b477a89b285b4b6e434f83b5bcf43230c09886d510fdd8579c44f31f3,474999,6,23
2017-07-11,0.02072508,,0.02072508,99f81a85ebb495d781c46f78dd7a8c96b7e517841c0bfb09a6a3d4e76a6d24d1,475355,33,1
2017-07-12,,0.02072508,0.0,be10bc8a7cd4fe77d3bc07907fd3fcbf2644784c5a8a4be1027cc2f2894b0a13,475500,2,18
2017-07-21,0.04494976,,0.04494976,a2f2840f2835936096a929d8ccd45efdcd0fdf091dd6a3e786c61ec3f90e4790,476851,67,31
2017-07-22,,0.04494976,0.0,fc17c2729e54751c12a231302c637f18903f81a9cd7f2a0c8035813c41cdd694,477032,2,5
2017-07-23,0.02309043,,0.02309043,643856793d0f860d2aa4f02ddbbf42f7ab76d39266f4d5cca0efaa70c2bbe946,477082,73,46
2017-07-24,,0.02309043,0.0,c29efd2dec0ca4dccec38bbdc160cd825620d1b285e6e8249237f08f9c8769bc,477321,16,12
2017-08-07,0.02783446,,0.02783446,9b6c2230f5e39f3d384925b658fbd0c528260a2d45a64075262fdf956ee03c91,479556,60,6
2017-08-08,,0.02783446,0.0,796aa1a3b4580bc3969897ea38268cb4d9b1f7b2cc519b0da0872a1a04426acf,479591,9,28
2017-08-18,0.00769232,,0.00769232,92f4748f2f321a989589bc93faf09f8c8627a04f548588720c88b14708fdf66e,481091,76,2
2017-08-18,,0.00769232,0.0,0dc45a2381a5d3c81877f0ae9bf21d361a7a9b003a3aa26132e4edf084409195,481099,2,46
2017-10-31,0.012871,,0.012871,2c9483d801f0cc070162afb0bbe6f5159107abaecf35861cbecf6197c62bc393,492547,32,6
2017-11-05,,0.012871,0.0,a525daefb7a2907935bf834df2fba129ec5f60e805a0a890f11a5bc2a262d20c,493161,43,86
