Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-07,0.039499,,0.039499,4346f7f1668b16040e192964eafc673d5fd91f1e4afc550a8612dc8f76af212b,474631,2,1
2017-07-08,0.03951008,,0.07900908,625a22e203d967ea1932432100d44caef5dcedeb63102058cc5fcdb52cda52f8,474749,2,1
2017-07-08,0.03951008,,0.11851916,a15547a36655be8daa11e9717c144eef827a6d70333646f34a1afc24cafb101b,474749,2,1
2017-07-08,0.03990127,,0.15842043,c2b8a3ed43b35ae960a8f657d2f478f0e43a50288e3dc39f6fcfec76768d46b4,474764,2,1
2017-07-08,0.04009922,,0.19851965,8aec710e030a382422835dbe755c20878f51587b5b5efdd90e3851a269f778b8,474769,4,1
2017-07-08,0.039584,,0.23810365,8f495d5315dee70a4d3379dd14f441c8f761826a2a008a2f30c63517e1ecea97,474801,2,4
2017-07-09,0.03887586,,0.27697951,12c9a11845c53b09cc429198eff94d024a3e948b67792a1116070ecb691772ef,474902,2,1
2017-07-09,0.03923645,,0.31621596,12392e14ef63f9f6fc123f82cb6b996c9a7897eae3a70091fbfd2dcddc8bfd61,474913,2,1
2017-07-09,0.039765,,0.35598096,2fb30cad19a0e65e177b5118b4964b531edf37be1bdc4499a2526f3ab19190fb,474980,2,1
2017-07-10,,0.0391092,0.31687176,624e7f5753574002bb1d886b9ec1d4a25f36287ac508acec1b94eee5ade90770,475040,2,8
2017-07-10,0.0065,,0.32337176,2973b41030d9ae2917715605d9d8ce95edc5a07901524d4b5980be05e065867d,475096,2,1
2017-07-10,0.041768,,0.36513976,752ccfdb0b588260ad18fc94e9cf2a84436e545140de47899d4a4a3cfe6ac3c9,475154,2,1
2017-07-10,,0.038907,0.32623276,feeb1b6e81c54e5201d7ddc1de2e953cf1f2fce22abb8db3709774fda16ab96a,475169,3,7
2017-07-11,0.13029938,,0.45653214,3d2819d9b8c2abe6683f0f53113cda5e632fbd4f5a220b1f497176617ccab4fe,475236,2,1
2017-07-11,0.8075,,1.26403214,5e190e445e5c776e541077748b3ab4a18a0473a3f46b00d872d93efedb91d315,475303,2,1
2017-07-11,0.044198,,1.30823014,64b69a3356d8b842b53045cb09b9785880dd492d50e0b50f3c824e4a4c4cfdde,475312,2,1
2017-07-12,0.1318948,,1.44012494,db9c6156f3ecefded66f16ba1696d577242fe6deba4826c17e7bed445b573ff3,475398,2,2
2017-07-12,0.037752,,1.47787694,b525db628154cea8db099690a3e2e054f697b764c4403c7de14693a744f96646,475418,2,1
2017-07-12,0.125034,,1.60291094,dd8331471b81963dfb066d80ac16133b13c1be5f611bb216ce62cee40daf9e2c,475530,2,9
2017-07-13,0.08726,,1.69017094,c9dab6d4bc01f3989b714a92aade79b97e3b23637bbbf15214dd5f2ff6f2ef66,475590,2,1
2017-07-13,0.04358,,1.73375094,cea1d4e072f876c90c73b6fbe218d306d4252c07c24768993af710c5041168be,475591,2,1
2017-07-13,0.04347,,1.77722094,de80857c5dcc60762de5a32ae91760c13c4588415e55ff8291f3368d4f1a03f8,475600,2,1
2017-07-13,0.13050693,,1.90772787,adea3abc0633f063df7492ec3d2d806089613bab75ef4878ae27635fe8cf2f02,475601,2,2
2017-07-13,0.04455675,,1.95228462,55ff20b1280d99bc618108be0b13f353e5e86ea2e46b5f038a3c4ee55622a93d,475606,42,101
2017-07-13,0.549,,2.50128462,da7b6b963b045d349448f1d06db3766fc47639cd03e6711e318dc5ebfc2ef3a5,475623,12,1
2017-07-13,0.04195511,,2.54323973,7675fe4dc6116bab84a30033c4b3b07fb33f0fea2b0f573c3e0472ebe4a258df,475630,2,2
2017-07-13,0.1269,,2.67013973,606d81c3de650cc594480c51a72190881f6521667a5fcb56ab974d70843ebcf4,475641,2,1
2017-07-13,0.042348,,2.71248773,0db6667fb753f8cb1580cb96708154888dd648e136a192d56ebf405ccd72574a,475643,2,1
2017-07-13,0.04198064,,2.75446837,7d888b5ee44334c20d0a1e4581c71da99da577fcfffed51a80e42cee84d175dc,475657,2,1
2017-07-13,0.12594194,,2.88041031,fabe9d6644ab87c72062d0ad40c6f71b8ea53f98ea45fa0108ff9e3972a47379,475657,2,1
2017-07-14,0.043473,,2.92388331,da23e6e92304bc982e0e523f4323bf8ad33e3641a11e7988b4be9351d60a8869,475748,2,1
2017-07-14,0.077241,,3.00112431,54dbec4f275a6d017bd2e5493c32390ce67420b97049575ac2a75977265df036,475776,2,1
2017-07-14,0.1295,,3.13062431,4013cdec75bf038d3806635e5fe12e83999f2df79c73b6e7d9a7d22023cb361a,475806,2,1
2017-07-15,0.13296694,,3.26359125,96dddbc996ea7df7baea0f5956bd7b441bfe918e6d20d19fb54c485d861bfa4c,475862,2,2
2017-07-15,,0.278038,2.98555325,ef45f2c3256510d06fac0741947eed46d5a861e720979af5fd06ece5d2016be1,475875,3,10
2017-07-15,,0.11664399,2.86890926,5155f36bb11d8896b849fa20e4888140d59fd43ad5d7d3dad29708ca2e74ebe4,475875,3,14
2017-07-15,,0.13296694,2.73594232,e926a440fa6b45ecb8e65836cf2cf24de126168e653e06e6c9f6359eda9522d3,475875,3,37
2017-07-15,,0.04198064,2.69396168,d49f3ddaeace38be4a76735690d7859b2c587e0045c89651b1de4558c707b6af,475875,2,20
2017-07-15,0.2612,,2.95516168,821fc0dd03c0b2fe6d2b560b7eded57affd558860677fa9be1fdf57af3777a1e,475893,2,1
