Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-12,,0.03,-0.03,a5942d74b6f6538ae8a961f4e5f3ab91ec009cf8c3aa80e46c0ad6f169629f74,475613,1,20
2017-07-13,,0.03,-0.06,1a46bea28e68059080a84ea3bb22dadc0ce7941c2fce30cabc84535d57e2e74a,475576,1,20
2017-07-13,,0.03,-0.09,aee20165f9e4d2675e32ab762fe45ae05cd4bb79faa35b3c1ed704c9c954aca7,475772,1,20
2017-07-13,,0.03,-0.12,706510571348ccb73fc43ad8fb37d0fe1c1c75152a5c103706147c866a0f49e0,477100,1,20
2017-07-13,,0.03,-0.15,18102ef7d2885754474cf02adf179dacca1d548ab00517ebc7d25c8a0cb351d0,475613,1,20
2017-07-13,,0.03,-0.18,5297ea5fe8b6f6c7ba2297a5ae2a26f2767ecdeb681f4130bfbf9924b2842f5b,476339,1,20
2017-07-13,,0.03,-0.21,6e7cd00a8a246b5b4dffd58677dc45da9fc2af5730b906af208d487d1869845b,475772,1,20
2017-07-13,,0.03,-0.24,5b1748c4c3ca9950e6b7e0a390ec8aef518f05bed2e8d90acce966481e90d48b,475580,1,20
2017-07-13,,0.03,-0.27,6cd47e54b29cd85682fb9912614d2629132c237aaa4b67239fec81fdcef46c78,475636,1,20
2017-07-13,,0.03,-0.3,561e7e24094bea1fa87b64db7cdd6c150b591e653d137d275804f90f55baeda8,475655,1,20
2017-07-13,,0.03,-0.33,f7d41be3933bcea6e13a4371d51e1005736202979dc5e56ec47ebc22b7acb719,475590,1,20
2017-07-13,,0.03,-0.36,22705b5ca7f8fb50b5c3b9d49311700ca09fd52e1b65047fedc2c1712e343b56,475592,1,20
2017-07-13,,0.03,-0.39,d2773ff4a1744bda2761c8152af98b3b4fe65202f3706a0d0016056af3975f1d,475773,1,20
2017-07-13,,0.03,-0.42,af4eb221029977810809d08a52056e7482ffb495657555b326a7e192a53abb4a,475600,1,20
2017-07-13,,0.03,-0.45,f94720648f5a1d053b261ba15420243efaca4621801f2c5eedbdaacc95813f23,476972,1,20
