Time,Money-In,Money-Out,Balance,Txid,Block,input_n,output_n
2017-07-10,0.53814371,,0.53814371,cd3e6eb5adae9bafea0aa2c3a9af2651fa3c2197bd0356131b406f7595a783af,475060,2,1
2017-07-18,0.26821636,,0.80636007,0b47dfee31f49126fd05184fbdcfbf50650c1577a96876507f270118e836d0fc,476357,2,1
2017-07-23,0.19508714,,1.00144721,3b5b8fc9fdcd3bfa699e2519a2e0563907e60d403022d27db22f94bc71888b56,477109,2,1
2017-07-24,,0.19508714,0.80636007,98de9088669787cf959959f6557a421f820a1cdfe4828bf8546551101ce5d981,477250,2,2
2017-08-06,0.2608905,,1.06725057,863841e7c26c1136b9358fe1e7e87352f5c49f1a3906a2d9f3a77c2645da5ae7,479290,2,1
2017-08-11,,0.53814371,0.52910686,dfbc8d33f969ad72ebb4d659eb003e175b7072413ab6cdc3c8056c1772c69f72,480100,3,3
2017-08-13,0.19743551,,0.72654237,82e04593cec227e1412a71ff51886d2105256a084251d71c84ee34c0a8e3c5f5,480333,2,1
2017-09-28,,0.19743551,0.52910686,981937adc2d99aa87b507f66bba66c8810a31ef2dd7c381ea7e7b71de78fc492,487293,1,20
2017-09-29,,0.26821636,0.2608905,8b2498df4cd22d2349231712e0e9bc0d693acdeb04393bc963320c3ba0c65339,487521,1,20
2017-09-29,,0.2608905,0.0,cb8ddce13421186fc80d488e6fc1ff7adbf9d3139678d499e67eb2161755ea02,487472,1,20
