"date (UTC)",description,"moneyIn (BTC)","moneyOut (BTC)","tx hash","current balance (BTC)"
20141224,"PAYMENT RECEIVED",4.56,0,9c8071a2db97f2249e1f2e587fe7056c8e2d3c13fae7cbab5a3f005263d9fda9,4.56
20141224,"PAYMENT RECEIVED",8.1509434,0,6bc235cbb8012d5234045a50e2558e75f1b81bc22b93130edfd7a8a08697b66c,12.7109434
20141228,"PAYMENT RECEIVED",0.6,0,19b524cc8709fcae7cedae9dcc311464087c0a99d46c821289ce89a7326a024c,13.3109434
20141231,"PAYMENT SENT",0,-0.06412279,2a8ac5f0f7ff683e0e61471fafd461af1444503befe045fbe1db0827a546b9dd,13.24682061
20150102,"PAYMENT SENT",0,-0.4401,0e3da5c38e7a75399bbe7c4034a570ea84ff4e30f301998fb528af15f3e86b17,12.80672061
20150105,"PAYMENT RECEIVED",0.31,0,17ff7769808d8e082a8abd3e52aea3b3d8693066cc7e1bfbc4edd93ca3103a7d,13.11672061
20150105,"PAYMENT SENT",0,-0.0184269,67759d405295ff3b22130854384b55fb4bd447be2b3e37f157872cb959b14c2f,13.09829371
20150105,"PAYMENT SENT",0,-0.072866,c4c047643933300fdb1196470656546b193746d8ecd061ff0560c23fe46a725c,13.02542771
20150106,"PAYMENT SENT",0,-0.0723366,2c1789390de10b96ee51a04add569f001280e96ef7b1cbb951d188111f198405,12.95309111
20150108,"PAYMENT RECEIVED",5.23,0,255ee87e4d5dcfab332887b977a9dcecc4bccce71390bfc480db241896276865,18.18309111
20150108,"PAYMENT RECEIVED",5.382,0,227c9d25d0c194a27a5a4498ff9cb484ccc8b1c854b11e801a6c2bd3e17e7c30,23.56509111
20150108,"PAYMENT RECEIVED",7.79,0,a1a37e0dc832197f64f404974177cc83a8c1bb4cc2b3222b07319dcf33ec459e,31.35509111
20150112,"PAYMENT SENT",0,-0.04928035,8d3afa7197eee64c07e9cd5e1642ff5fa447c26d41abc06dbdd471b536e1b5b8,31.30581076
20150112,"PAYMENT SENT",0,-0.00652,26fb71e9435ac77d948225e00ec286635eddd1602d2015f38f43b4fd084f83a1,31.29929076
20150112,"PAYMENT SENT",0,-4.0001,316844a4fe99b26b61206492691a39f0a23a1492c8e7fe7ce3c368386a30b1ea,27.29919076
20150113,"PAYMENT RECEIVED",0.426,0,165a02a93f40de7b32dab8aaaff35b9b7ec85d9d3e5ea896e8a3e59c67050b0a,27.72519076
